TIRF Data File: Project 1320; Run 128
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
27.620	39.87	505.32	0.005	0.021	24.672	20.932	54.70	3221.34	-168.51	-1523.13	46.30	41.08	-2.11	0.11	38.24	66.77	72.88	76.08	79.89	0.179	0.228
27.640	39.84	504.89	0.007	0.021	24.672	20.938	54.70	3192.00	-170.43	-1523.43	47.90	53.23	-2.10	0.11	38.26	66.76	72.88	76.08	79.88	0.178	0.228
27.660	39.86	504.15	0.010	0.021	24.674	20.976	54.70	3180.47	-162.40	-1513.88	35.29	57.16	-2.10	0.11	38.22	66.79	72.89	76.07	79.90	0.176	0.226
27.680	39.88	503.41	0.011	0.018	24.672	21.019	54.83	3218.54	-153.09	-1507.72	24.32	52.57	-2.13	0.10	38.20	66.82	72.91	76.10	79.87	0.174	0.223
27.700	39.89	502.31	0.005	0.021	24.668	21.070	54.83	3253.24	-151.78	-1516.83	27.99	40.85	-2.14	0.10	38.18	66.88	72.93	76.14	79.92	0.171	0.220
27.720	39.91	500.95	0.008	0.015	24.673	21.135	54.70	3256.05	-165.35	-1529.75	38.48	32.04	-2.13	0.11	38.16	66.91	73.01	76.21	79.88	0.167	0.216
27.740	39.92	499.30	0.008	0.022	24.673	21.214	54.63	3265.06	-181.10	-1539.48	47.33	40.44	-2.12	0.12	38.13	66.92	73.01	76.21	79.90	0.163	0.212
27.760	39.95	497.62	0.005	0.021	24.672	21.298	54.63	3245.48	-174.75	-1531.85	48.11	50.35	-2.12	0.11	38.26	66.95	73.04	76.24	79.88	0.158	0.207
27.780	39.98	496.14	0.007	0.017	24.673	21.377	54.63	3238.48	-167.38	-1520.80	35.23	57.76	-2.13	0.11	38.34	66.95	73.10	76.26	79.89	0.154	0.203
27.800	39.97	494.97	0.005	0.021	24.672	21.425	54.70	3262.07	-158.79	-1515.97	23.48	54.31	-2.15	0.10	38.26	66.96	73.15	76.26	79.90	0.152	0.200
27.820	39.98	493.99	0.004	0.021	24.670	21.473	54.63	3272.95	-157.40	-1528.02	27.74	38.11	-2.14	0.10	38.38	66.98	73.21	76.29	79.88	0.149	0.197
27.840	40.00	493.21	0.004	0.022	24.673	21.519	54.70	3261.01	-156.48	-1534.90	36.98	32.56	-2.12	0.10	38.44	67.01	73.26	76.33	79.91	0.147	0.195
27.860	40.02	492.70	0.004	0.021	24.674	21.551	54.83	3237.28	-154.81	-1532.22	44.38	37.43	-2.11	0.10	38.50	67.04	73.29	76.36	79.87	0.145	0.193
27.880	40.07	492.62	0.010	0.021	24.674	21.580	54.70	3209.38	-153.25	-1527.56	46.88	47.79	-2.10	0.10	38.58	67.07	73.32	76.33	79.91	0.143	0.191
27.900	40.07	492.70	0.005	0.031	24.675	21.577	54.77	3209.63	-153.59	-1515.94	34.53	58.18	-2.12	0.10	38.56	67.05	73.32	76.31	79.88	0.144	0.191
27.920	40.07	493.09	0.010	0.017	24.679	21.559	54.70	3231.09	-155.24	-1516.35	22.75	53.50	-2.13	0.10	38.66	67.07	73.34	76.26	79.90	0.145	0.192
27.940	40.06	493.48	0.013	0.024	24.679	21.537	54.70	3240.84	-151.19	-1520.71	23.92	38.27	-2.13	0.10	38.68	67.04	73.32	76.24	79.89	0.146	0.194
27.960	40.05	493.75	0.007	0.028	24.678	21.523	54.63	3255.80	-159.32	-1528.52	34.55	32.69	-2.13	0.10	38.93	67.11	73.35	76.26	79.87	0.147	0.194
27.980	40.08	493.60	0.008	0.021	24.680	21.545	54.77	3264.85	-170.78	-1530.28	44.35	36.70	-2.13	0.11	38.83	67.07	73.29	76.24	79.91	0.145	0.193
28.000	40.11	493.29	0.005	0.021	24.682	21.573	54.77	3253.45	-173.43	-1526.11	46.45	47.53	-2.13	0.11	38.77	67.05	73.34	76.24	79.87	0.144	0.192
28.020	40.13	492.78	0.007	0.022	24.679	21.606	54.77	3252.43	-171.60	-1518.64	35.21	59.31	-2.14	0.11	38.77	67.05	73.32	76.20	79.92	0.142	0.190
28.040	40.14	492.11	0.007	0.017	24.679	21.642	54.70	3269.56	-162.25	-1512.06	22.87	54.46	-2.16	0.11	38.81	67.07	73.32	76.21	79.88	0.140	0.188
28.060	40.13	491.18	0.007	0.021	24.680	21.679	54.70	3303.77	-165.14	-1524.11	25.08	42.75	-2.17	0.11	38.81	67.08	73.35	76.21	79.91	0.138	0.186
28.080	40.13	489.89	0.013	0.021	24.684	21.733	54.63	3333.67	-179.52	-1531.23	34.49	37.19	-2.18	0.12	38.83	67.07	73.37	76.23	79.88	0.136	0.183
28.100	40.12	488.40	0.008	0.024	24.683	21.797	54.77	3340.38	-197.27	-1542.97	45.83	35.50	-2.16	0.13	38.85	67.14	73.35	76.24	79.89	0.132	0.179
