TIRF Data File: Project 1320; Run 128
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
28.120	40.12	486.72	0.008	0.021	24.685	21.870	54.70	3338.68	-203.37	-1540.23	48.55	47.70	-2.17	0.13	38.91	67.10	73.32	76.26	79.90	0.129	0.175
28.140	40.10	485.12	-0.003	0.025	24.685	21.929	54.63	3329.69	-197.36	-1528.48	38.57	57.91	-2.18	0.13	38.97	67.10	73.30	76.21	79.88	0.126	0.172
28.160	40.09	483.67	0.007	0.022	24.685	21.992	54.70	3339.18	-186.65	-1518.53	24.65	53.58	-2.20	0.12	38.97	67.11	73.26	76.18	79.91	0.122	0.169
28.180	40.10	482.46	0.005	0.021	24.689	22.050	54.63	3373.28	-184.08	-1523.31	21.46	45.01	-2.21	0.12	39.11	67.11	73.23	76.17	79.88	0.120	0.166
28.200	40.09	481.33	0.013	0.025	24.686	22.097	54.70	3379.91	-190.83	-1534.14	31.54	34.01	-2.20	0.12	38.93	67.11	73.21	76.15	79.92	0.117	0.163
28.220	40.07	480.27	0.004	0.021	24.687	22.135	54.70	3383.29	-201.57	-1543.57	43.92	35.01	-2.19	0.13	38.89	67.15	73.21	76.10	79.88	0.115	0.161
28.240	40.02	479.37	0.014	0.025	24.692	22.151	54.77	3392.22	-212.49	-1541.60	50.15	48.03	-2.20	0.14	38.93	67.12	73.21	76.08	79.90	0.115	0.161
28.260	40.00	478.67	0.007	0.024	24.691	22.170	54.70	3370.00	-209.05	-1529.36	44.93	57.24	-2.20	0.14	39.13	67.11	73.12	76.00	79.89	0.114	0.159
28.280	39.98	478.32	0.005	0.021	24.695	22.176	54.77	3334.52	-196.15	-1516.13	29.76	57.85	-2.20	0.13	38.97	67.04	73.05	75.92	79.88	0.114	0.159
28.300	39.98	478.32	0.007	0.021	24.695	22.174	54.70	3323.64	-179.69	-1515.71	24.43	48.39	-2.19	0.12	38.93	67.04	73.01	75.84	79.91	0.114	0.159
28.320	39.99	478.47	0.010	0.021	24.695	22.174	54.63	3326.38	-175.40	-1520.93	32.12	35.43	-2.19	0.12	39.03	67.01	72.99	75.79	79.88	0.114	0.159
28.340	40.01	478.71	0.019	0.027	24.696	22.176	54.70	3336.29	-192.50	-1528.73	42.47	33.70	-2.18	0.13	38.81	66.99	72.94	75.75	79.92	0.114	0.159
28.360	40.03	478.71	0.010	0.021	24.697	22.184	54.70	3342.64	-209.54	-1533.52	50.40	44.08	-2.18	0.14	38.79	67.01	72.89	75.69	79.87	0.113	0.159
28.380	40.04	478.55	0.007	0.021	24.699	22.196	54.90	3322.41	-212.98	-1522.26	47.09	52.94	-2.18	0.14	38.81	66.95	72.83	75.62	79.90	0.113	0.158
28.400	40.07	478.32	0.008	0.005	24.703	22.228	54.70	3332.94	-210.44	-1513.58	33.27	61.03	-2.20	0.14	38.79	66.91	72.82	75.55	79.88	0.111	0.156
28.420	40.12	477.77	0.008	0.017	24.704	22.279	54.70	3342.70	-200.51	-1510.13	21.08	55.10	-2.21	0.13	38.87	66.88	72.77	75.47	79.89	0.109	0.154
28.440	40.17	477.03	0.007	0.015	24.706	22.342	54.70	3317.37	-200.37	-1523.46	25.87	39.17	-2.18	0.13	38.70	66.85	72.75	75.44	79.90	0.106	0.151
28.460	40.22	476.01	0.005	0.014	24.703	22.416	54.70	3296.89	-214.55	-1537.66	37.91	36.89	-2.14	0.14	38.91	66.86	72.75	75.42	79.88	0.102	0.147
28.480	40.28	475.03	0.007	0.021	24.701	22.496	54.70	3285.00	-223.25	-1551.91	50.52	40.41	-2.12	0.14	38.66	66.83	72.72	75.37	79.91	0.098	0.143
28.500	40.36	474.06	0.014	0.021	24.707	22.589	54.63	3289.46	-230.14	-1547.80	50.63	50.94	-2.13	0.15	38.66	66.77	72.72	75.34	79.88	0.094	0.138
28.520	40.51	473.00	0.008	0.021	24.707	22.723	54.63	3317.85	-222.87	-1536.00	38.37	62.12	-2.16	0.15	38.56	66.73	72.67	75.30	79.92	0.087	0.131
28.540	40.68	471.79	0.016	0.022	24.709	22.879	54.70	3317.08	-210.75	-1538.35	27.33	52.48	-2.16	0.14	38.56	66.67	72.64	75.26	79.88	0.080	0.124
28.560	40.84	470.50	0.005	0.021	24.713	23.028	54.70	3296.22	-213.58	-1554.89	24.95	38.52	-2.12	0.14	38.58	66.66	72.63	75.23	79.90	0.073	0.116
28.580	40.90	469.13	0.007	0.015	24.720	23.130	54.70	3280.89	-223.01	-1567.31	32.53	34.86	-2.09	0.14	38.68	66.66	72.58	75.23	79.89	0.069	0.111
28.600	40.86	468.00	0.007	0.025	24.724	23.162	54.70	3252.43	-224.77	-1572.62	44.71	34.45	-2.07	0.14	38.58	66.64	72.55	75.17	79.89	0.067	0.110
28.620	40.85	467.02	0.010	0.022	24.728	23.205	54.77	3246.35	-218.28	-1564.49	52.56	44.26	-2.08	0.14	38.58	66.58	72.49	75.14	79.90	0.066	0.108
28.640	40.86	466.36	0.005	0.015	24.736	23.246	54.70	3252.18	-213.46	-1548.67	47.91	54.94	-2.10	0.14	38.60	66.51	72.44	75.04	79.88	0.064	0.106
28.660	40.85	465.85	0.004	0.021	24.742	23.266	54.70	3228.43	-205.51	-1532.04	32.27	50.98	-2.11	0.13	38.60	66.45	72.36	74.98	79.91	0.063	0.105
28.680	40.79	465.46	0.008	0.021	24.744	23.251	54.70	3204.15	-186.99	-1521.34	24.27	41.92	-2.11	0.12	38.44	66.42	72.26	74.89	79.88	0.064	0.106
28.700	40.74	465.19	0.008	0.021	24.744	23.233	54.77	3200.43	-175.08	-1516.18	30.11	35.65	-2.11	0.12	38.60	66.35	72.19	74.82	79.91	0.065	0.106
28.720	40.68	465.03	0.011	0.028	24.751	23.209	54.70	3201.99	-174.13	-1521.61	43.34	33.44	-2.10	0.11	38.73	66.32	72.12	74.73	79.88	0.066	0.108
28.740	40.61	464.87	0.010	0.021	24.750	23.179	54.70	3221.58	-187.00	-1526.53	53.89	36.51	-2.11	0.12	38.79	66.25	72.01	74.69	79.89	0.068	0.109
28.760	40.52	464.48	0.011	0.018	24.749	23.143	54.70	3223.65	-194.63	-1515.47	50.56	44.76	-2.13	0.13	38.85	66.20	71.92	74.60	79.89	0.069	0.111
28.780	40.39	463.86	0.007	0.021	24.750	23.105	54.63	3231.79	-194.30	-1497.99	35.55	53.51	-2.16	0.13	38.89	66.12	71.81	74.52	79.88	0.071	0.113
28.800	40.31	463.11	0.005	0.021	24.748	23.091	54.70	3251.51	-187.75	-1486.57	22.90	52.25	-2.19	0.13	38.93	66.12	71.73	74.43	79.92	0.072	0.113
28.820	40.23	462.06	0.010	0.017	24.751	23.101	54.90	3245.67	-178.00	-1490.01	25.30	39.15	-2.18	0.12	38.97	66.04	71.65	74.36	79.88	0.071	0.113
28.840	40.15	461.00	0.008	0.017	24.745	23.106	54.90	3231.92	-185.98	-1509.73	38.22	32.53	-2.14	0.12	38.89	65.96	71.57	74.30	79.91	0.071	0.113
28.860	40.05	459.83	0.014	0.024	24.744	23.111	54.90	3236.14	-210.05	-1522.15	46.49	37.06	-2.13	0.14	39.13	65.90	71.48	74.26	79.88	0.071	0.112
28.880	39.97	458.74	0.010	0.018	24.745	23.117	54.97	3241.91	-225.83	-1522.83	49.51	42.78	-2.13	0.15	39.03	65.84	71.40	74.23	79.90	0.070	0.112
28.900	39.91	457.60	0.008	0.021	24.742	23.137	54.97	3269.41	-228.09	-1509.29	43.59	56.73	-2.17	0.15	39.15	65.78	71.29	74.18	79.89	0.069	0.111
28.920	39.85	456.43	0.008	0.021	24.738	23.164	55.04	3296.34	-218.78	-1495.89	30.73	60.40	-2.20	0.15	39.09	65.72	71.24	74.11	79.89	0.068	0.110
28.940	39.81	455.30	0.005	0.021	24.738	23.197	55.04	3285.66	-211.97	-1507.64	27.73	45.37	-2.18	0.14	39.07	65.69	71.13	74.01	79.91	0.066	0.108
28.960	39.78	454.16	0.005	0.009	24.743	23.238	54.90	3271.82	-222.21	-1522.77	30.41	35.74	-2.15	0.15	39.07	65.62	71.04	73.98	79.87	0.065	0.106
28.980	39.79	453.38	0.010	0.025	24.734	23.284	55.10	3252.45	-234.55	-1533.36	37.95	31.51	-2.12	0.15	38.91	65.56	71.00	73.97	79.91	0.062	0.104
29.000	39.84	452.64	0.008	0.021	24.735	23.349	55.04	3249.34	-236.97	-1545.02	50.74	34.30	-2.10	0.15	39.01	65.52	70.93	73.92	79.87	0.059	0.101
29.020	39.88	452.21	0.008	0.024	24.736	23.399	55.10	3260.16	-234.84	-1545.24	53.71	47.45	-2.11	0.15	38.97	65.50	70.83	73.87	79.91	0.057	0.099
29.040	39.94	451.86	0.011	0.030	24.739	23.450	55.10	3263.90	-234.47	-1531.73	40.90	54.98	-2.13	0.15	39.21	65.47	70.74	73.79	79.89	0.055	0.096
29.060	40.00	451.66	0.007	0.022	24.736	23.499	54.97	3269.23	-233.48	-1519.92	23.74	52.44	-2.15	0.15	39.17	65.43	70.66	73.75	79.89	0.053	0.094
29.080	40.05	451.39	0.007	0.021	24.738	23.540	55.17	3271.48	-220.41	-1527.05	22.48	42.19	-2.14	0.14	38.97	65.36	70.59	73.69	79.90	0.051	0.092
29.100	40.11	451.16	0.007	0.021	24.738	23.588	55.10	3226.90	-209.68	-1539.81	34.20	28.50	-2.10	0.14	39.05	65.33	70.50	73.63	79.88	0.049	0.090
29.120	40.18	450.88	0.008	0.017	24.741	23.646	55.04	3176.90	-204.43	-1552.05	44.60	29.03	-2.05	0.13	38.83	65.25	70.42	73.60	79.92	0.046	0.087
29.140	40.28	450.76	0.008	0.025	24.745	23.707	55.10	3177.53	-206.37	-1551.63	51.23	38.62	-2.05	0.13	38.83	65.25	70.37	73.52	79.88	0.044	0.084
29.160	40.32	451.00	0.007	0.022	24.750	23.722	55.10	3178.46	-213.98	-1543.78	48.87	49.06	-2.06	0.14	38.72	65.20	70.28	73.47	79.90	0.043	0.084
29.180	40.35	450.96	0.005	0.024	24.752	23.741	55.10	3176.37	-217.06	-1524.89	34.31	55.69	-2.08	0.14	38.38	65.12	70.22	73.37	79.87	0.043	0.083
29.200	40.41	450.92	0.010	0.015	24.751	23.776	55.10	3160.06	-209.54	-1520.89	27.22	46.23	-2.08	0.14	38.64	65.12	70.12	73.31	79.91	0.041	0.081
29.220	40.42	450.61	0.013	0.024	24.755	23.798	55.10	3137.15	-199.81	-1527.79	31.48	31.90	-2.05	0.13	38.50	65.03	70.01	73.26	79.89	0.040	0.080
29.240	40.40	450.37	0.005	0.021	24.754	23.802	55.04	3118.74	-205.81	-1539.42	38.53	29.32	-2.03	0.13	38.64	64.98	69.95	73.21	79.88	0.040	0.080
29.260	40.39	449.79	0.010	0.024	24.761	23.822	55.10	3081.55	-220.04	-1547.84	46.69	31.58	-1.99	0.14	38.54	64.93	69.89	73.17	79.89	0.039	0.079
29.280	40.37	449.16	0.008	0.021	24.760	23.847	55.10	3042.62	-226.71	-1541.27	49.61	40.93	-1.97	0.15	38.32	64.83	69.78	73.10	79.88	0.038	0.078
29.300	40.36	448.58	0.013	0.025	24.765	23.870	55.04	3020.36	-219.83	-1526.88	44.59	54.78	-1.98	0.14	38.15	64.77	69.68	73.01	79.92	0.037	0.077
29.320	40.32	447.95	0.004	0.022	24.764	23.881	55.10	3005.30	-206.96	-1507.34	30.40	53.97	-1.99	0.14	38.46	64.74	69.59	72.92	79.88	0.037	0.076
29.340	40.26	447.44	0.005	0.022	24.764	23.872	55.17	3001.80	-200.89	-1507.19	25.23	40.42	-1.99	0.13	38.38	64.67	69.49	72.85	79.91	0.037	0.077
29.360	40.20	446.54	0.008	0.021	24.770	23.884	55.17	3002.12	-205.60	-1521.29	32.22	30.76	-1.97	0.14	38.34	64.57	69.41	72.81	79.88	0.037	0.076
29.380	40.15	445.45	0.010	0.021	24.764	23.915	55.10	2963.50	-205.26	-1533.58	42.82	26.06	-1.93	0.13	38.54	64.52	69.37	72.79	79.89	0.035	0.075
29.400	40.12	444.28	0.011	0.018	24.769	23.959	55.04	2920.41	-207.62	-1543.90	53.49	30.63	-1.89	0.13	38.30	64.44	69.27	72.71	79.90	0.034	0.073
29.420	40.09	443.14	0.008	0.034	24.765	24.001	54.97	2889.42	-208.25	-1538.72	55.28	41.81	-1.88	0.14	38.32	64.38	69.21	72.63	79.89	0.032	0.071
29.440	40.04	442.28	0.005	0.021	24.766	24.019	54.97	2864.18	-203.55	-1511.45	40.82	46.97	-1.89	0.13	38.24	64.29	69.11	72.55	79.92	0.031	0.070
29.460	40.01	441.58	0.010	0.027	24.765	24.038	55.04	2878.70	-199.15	-1497.76	25.58	47.56	-1.92	0.13	38.24	64.17	68.99	72.47	79.87	0.030	0.069
29.480	39.97	440.76	0.010	0.025	24.769	24.060	55.10	2878.95	-183.98	-1502.12	25.27	35.70	-1.92	0.12	38.26	64.10	68.89	72.40	79.91	0.029	0.068
29.500	39.94	439.90	0.008	0.022	24.766	24.090	55.10	2822.99	-169.80	-1516.02	35.03	17.93	-1.86	0.11	38.26	64.01	68.81	72.31	79.88	0.028	0.067
29.520	39.92	439.04	0.008	0.022	24.768	24.123	55.10	2791.15	-166.02	-1525.26	44.80	20.17	-1.83	0.11	38.32	63.97	68.75	72.27	79.91	0.027	0.066
29.540	39.91	438.26	0.008	0.025	24.765	24.161	55.04	2773.81	-171.33	-1529.02	51.86	29.10	-1.81	0.11	38.34	63.92	68.69	72.18	79.89	0.025	0.064
29.560	39.89	437.63	0.005	0.022	24.766	24.184	55.17	2749.13	-177.43	-1524.52	51.87	37.68	-1.80	0.12	38.38	63.81	68.59	72.08	79.89	0.024	0.063
29.580	39.91	437.16	0.008	0.024	24.767	24.219	55.04	2742.01	-174.22	-1506.56	39.16	48.70	-1.82	0.12	38.46	63.76	68.52	71.98	79.90	0.023	0.061
29.600	39.94	436.58	0.008	0.021	24.762	24.271	55.04	2718.42	-164.08	-1492.12	26.35	40.90	-1.82	0.11	38.46	63.66	68.42	71.89	79.88	0.020	0.059
29.620	39.99	435.95	0.014	0.018	24.763	24.337	55.10	2689.22	-163.29	-1502.81	28.44	25.95	-1.79	0.11	38.54	63.59	68.33	71.79	79.91	0.017	0.056
29.640	40.00	435.21	0.005	0.022	24.760	24.387	55.04	2657.51	-170.02	-1513.27	34.99	19.40	-1.76	0.11	38.50	63.56	68.26	71.75	79.88	0.015	0.054
29.660	40.01	434.51	0.008	0.024	24.759	24.429	55.10	2594.61	-173.78	-1526.57	44.85	16.61	-1.70	0.11	38.54	63.50	68.15	71.65	79.91	0.013	0.052
29.680	40.03	433.96	0.016	0.025	24.755	24.474	55.10	2545.59	-179.65	-1533.23	53.53	26.12	-1.66	0.12	38.64	63.43	68.07	71.56	79.88	0.011	0.050
29.700	40.04	433.45	0.010	0.021	24.760	24.509	55.17	2519.22	-183.00	-1516.19	50.68	40.08	-1.66	0.12	38.83	63.41	67.98	71.47	79.89	0.010	0.049
29.720	40.04	433.06	0.011	0.021	24.758	24.531	55.10	2492.17	-188.02	-1492.71	38.16	44.18	-1.67	0.13	38.70	63.30	67.82	71.37	79.90	0.009	0.048
29.740	40.04	432.67	0.017	0.022	24.754	24.553	55.10	2466.46	-193.81	-1483.62	25.20	39.55	-1.66	0.13	38.68	63.24	67.74	71.27	79.88	0.008	0.047
29.760	40.05	432.20	0.008	0.021	24.748	24.588	54.97	2415.57	-189.55	-1492.72	25.90	24.24	-1.62	0.13	38.70	63.15	67.63	71.18	79.91	0.006	0.045
29.780	40.09	431.54	0.005	0.015	24.748	24.646	55.04	2340.96	-184.20	-1509.91	38.50	13.56	-1.55	0.12	38.60	63.08	67.49	71.10	79.87	0.004	0.043
29.800	40.11	430.95	0.010	0.022	24.742	24.697	55.10	2275.14	-185.20	-1521.50	48.90	19.03	-1.50	0.12	38.46	62.99	67.37	71.01	79.92	0.002	0.041
29.820	40.11	430.52	0.007	0.024	24.738	24.722	55.10	2212.97	-193.11	-1523.60	57.29	23.91	-1.45	0.13	38.56	62.92	67.21	70.91	79.88	0.001	0.040
29.840	40.09	430.09	0.008	0.028	24.737	24.729	55.17	2176.02	-205.47	-1511.87	55.56	34.84	-1.44	0.14	38.56	62.84	67.02	70.78	79.91	0.000	0.040
29.860	40.07	429.66	0.004	0.024	24.734	24.742	55.10	2147.82	-209.12	-1490.12	40.80	44.55	-1.44	0.14	38.62	62.74	66.81	70.62	79.89	0.000	0.039
29.880	40.06	429.23	0.007	0.021	24.731	24.761	54.97	2090.31	-198.11	-1484.69	32.30	32.42	-1.41	0.13	38.52	62.62	66.59	70.46	79.88	-0.001	0.038
29.900	40.05	428.57	0.005	0.028	24.721	24.797	55.10	2027.25	-191.79	-1495.92	33.70	18.80	-1.36	0.13	38.46	62.52	66.37	70.30	79.90	-0.003	0.037
29.920	40.04	427.74	0.008	0.022	24.720	24.833	55.17	1968.88	-190.77	-1504.89	39.42	15.33	-1.31	0.13	38.40	62.42	66.14	70.14	79.88	-0.005	0.035
29.940	40.02	426.92	0.007	0.022	24.717	24.872	54.97	1883.92	-190.27	-1519.61	51.48	11.30	-1.24	0.13	38.32	62.35	65.88	69.95	79.91	-0.006	0.034
29.960	39.99	426.14	0.007	0.022	24.713	24.900	55.10	1803.30	-197.44	-1519.55	58.75	18.98	-1.19	0.13	38.24	62.20	65.62	69.72	79.88	-0.008	0.032
29.980	39.95	425.44	0.004	0.018	24.712	24.915	54.97	1766.40	-200.73	-1504.07	57.06	35.35	-1.17	0.13	38.24	62.11	65.32	69.43	79.91	-0.008	0.032
30.000	39.93	424.74	0.011	0.022	24.707	24.945	55.04	1721.74	-207.78	-1493.04	46.69	39.43	-1.15	0.14	38.18	61.95	65.03	69.10	79.90	-0.010	0.031
30.020	39.90	423.99	0.010	0.025	24.700	24.968	55.04	1670.64	-216.98	-1483.89	33.58	32.80	-1.13	0.15	38.11	61.82	64.80	68.79	79.91	-0.011	0.030
30.040	39.87	423.13	0.014	0.024	24.695	24.998	55.04	1608.23	-209.87	-1495.76	36.39	18.49	-1.08	0.14	38.09	61.63	64.50	68.46	79.91	-0.012	0.028
30.060	39.85	422.12	0.016	0.025	24.686	25.050	55.04	1527.89	-199.13	-1505.99	44.32	9.92	-1.01	0.13	38.05	61.48	64.26	68.18	79.90	-0.015	0.026
30.080	39.85	421.10	0.008	0.024	24.683	25.110	54.97	1445.06	-191.06	-1510.56	53.03	11.99	-0.96	0.13	38.01	61.32	64.01	67.86	79.93	-0.017	0.024
30.100	39.88	420.24	0.016	0.025	24.683	25.176	55.04	1356.02	-196.11	-1520.63	63.03	13.48	-0.89	0.13	37.97	61.21	63.77	67.55	79.90	-0.020	0.021
30.120	39.89	419.54	0.011	0.021	24.674	25.227	54.97	1293.55	-208.38	-1508.63	59.83	25.05	-0.86	0.14	37.69	60.97	63.52	67.23	79.94	-0.022	0.019
30.140	39.86	418.87	0.007	0.018	24.674	25.249	55.10	1246.92	-209.88	-1492.38	46.63	34.38	-0.84	0.14	37.89	60.75	63.32	66.89	79.91	-0.023	0.018
30.160	39.88	418.40	0.013	0.028	24.666	25.287	55.04	1164.12	-205.14	-1488.95	37.89	20.77	-0.78	0.14	37.83	60.61	63.08	66.53	79.93	-0.025	0.017
30.180	39.87	417.86	0.011	0.021	24.660	25.317	55.17	1086.87	-199.36	-1497.45	38.76	10.13	-0.73	0.13	37.89	60.37	62.92	66.23	79.92	-0.026	0.015
30.200	39.88	417.19	0.010	0.025	24.655	25.360	55.04	1017.07	-194.91	-1501.83	44.95	6.73	-0.68	0.13	37.77	60.14	62.69	65.91	79.92	-0.028	0.014
30.220	39.88	416.57	0.014	0.025	24.651	25.398	55.17	903.10	-188.82	-1506.76	55.52	-2.86	-0.60	0.13	37.79	59.96	62.56	65.66	79.93	-0.029	0.012
30.240	39.88	415.98	0.014	0.024	24.646	25.437	55.10	797.72	-187.59	-1511.19	64.67	0.92	-0.53	0.12	37.79	59.74	62.39	65.39	79.91	-0.031	0.011
30.260	39.90	415.51	0.008	0.021	24.640	25.475	55.10	738.13	-183.17	-1500.87	65.97	15.28	-0.49	0.12	37.75	59.55	62.25	65.11	79.96	-0.033	0.009
30.280	39.91	415.16	0.008	0.028	24.635	25.508	55.10	666.18	-179.75	-1481.13	56.49	19.97	-0.45	0.12	37.71	59.31	62.09	64.82	79.92	-0.034	0.008
30.300	39.91	414.73	0.010	0.021	24.631	25.532	55.04	581.87	-183.19	-1467.06	44.88	15.46	-0.40	0.12	37.73	59.10	61.96	64.53	79.96	-0.035	0.007
30.320	39.89	414.22	0.008	0.022	24.618	25.548	54.97	498.67	-181.61	-1475.02	45.94	3.15	-0.34	0.12	37.67	58.91	61.79	64.26	79.94	-0.036	0.006
30.340	39.87	413.64	0.014	0.031	24.607	25.572	55.04	407.59	-175.79	-1484.08	51.56	-5.81	-0.27	0.12	37.71	58.72	61.63	64.00	79.95	-0.038	0.005
30.360	39.85	412.89	0.008	0.022	24.603	25.606	54.90	315.05	-164.25	-1483.07	57.88	-9.77	-0.21	0.11	37.75	58.56	61.55	63.73	79.95	-0.039	0.004
30.380	39.84	412.23	0.011	0.031	24.595	25.644	54.97	204.76	-154.72	-1499.42	71.47	-15.01	-0.14	0.10	37.75	58.40	61.43	63.46	79.94	-0.041	0.002
30.400	39.84	411.64	0.014	0.028	24.586	25.675	54.77	112.23	-164.74	-1501.54	73.22	-5.32	-0.07	0.11	37.73	58.24	61.32	63.20	79.97	-0.042	0.001
30.420	39.82	411.02	0.007	0.015	24.581	25.702	54.83	44.98	-163.98	-1480.64	61.60	7.08	-0.03	0.11	37.73	58.06	61.19	62.98	79.94	-0.044	0.000
30.440	39.80	410.59	0.011	0.024	24.571	25.720	54.90	-43.68	-159.22	-1466.54	51.33	-1.05	0.03	0.11	37.71	57.89	61.05	62.69	79.98	-0.045	-0.001
30.460	39.77	410.04	0.008	0.025	24.561	25.730	54.77	-99.56	-159.72	-1479.96	55.04	-9.04	0.07	0.11	37.75	57.74	60.91	62.49	79.95	-0.045	-0.001
30.480	39.74	409.38	0.013	0.021	24.552	25.754	54.90	-143.96	-157.40	-1497.18	60.25	-13.64	0.10	0.11	37.87	57.61	60.78	62.26	79.97	-0.047	-0.002
30.500	39.72	408.67	0.008	0.021	24.546	25.789	54.83	-282.59	-151.44	-1501.34	63.42	-26.14	0.19	0.10	37.77	57.48	60.65	62.05	79.97	-0.048	-0.003
30.520	39.69	407.62	0.016	0.022	24.536	25.831	54.77	-407.18	-148.86	-1511.93	71.05	-28.96	0.27	0.10	38.03	57.39	60.54	61.91	79.97	-0.050	-0.005
30.540	39.65	406.80	0.007	0.027	24.533	25.862	54.63	-481.82	-155.46	-1518.31	75.91	-19.37	0.32	0.10	37.61	57.24	60.45	61.73	79.98	-0.051	-0.006
