TIRF Data File: Project 1320; Run 127
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
27.160	40.19	493.05	0.007	0.024	25.240	21.626	96.29	3099.41	-75.26	-1537.67	13.49	22.92	-2.02	0.05	37.65	65.96	74.64	77.15	79.77	0.167	0.200
27.180	40.19	493.05	0.005	0.027	25.240	21.629	96.50	3125.87	-77.86	-1538.14	22.86	33.73	-2.03	0.05	37.65	66.03	74.69	77.15	79.79	0.167	0.200
27.200	40.22	492.82	0.014	0.028	25.243	21.654	96.16	3112.88	-75.76	-1523.56	20.57	46.07	-2.04	0.05	37.65	66.01	74.71	77.20	79.79	0.166	0.199
27.220	40.21	492.50	0.011	0.034	25.242	21.663	96.29	3076.72	-71.16	-1504.10	7.34	48.09	-2.05	0.05	37.65	66.04	74.74	77.23	79.77	0.165	0.198
27.240	40.18	492.27	0.008	0.028	25.241	21.656	96.29	3062.37	-69.89	-1507.15	0.32	39.73	-2.03	0.05	37.73	66.09	74.75	77.24	79.82	0.166	0.199
27.260	40.17	492.15	0.005	0.030	25.241	21.656	96.29	3063.24	-68.49	-1524.79	4.48	26.16	-2.01	0.04	37.83	66.10	74.79	77.30	79.76	0.166	0.199
27.280	40.17	492.07	0.010	0.034	25.242	21.657	96.23	3090.27	-73.95	-1539.82	12.93	21.79	-2.01	0.05	37.83	66.16	74.85	77.36	79.81	0.166	0.199
27.300	40.16	491.80	0.008	0.025	25.242	21.664	96.23	3122.72	-80.62	-1543.58	22.53	32.56	-2.02	0.05	37.71	66.17	74.93	77.40	79.77	0.165	0.198
27.320	40.15	491.41	0.014	0.031	25.241	21.678	96.36	3105.20	-75.02	-1529.69	23.17	42.89	-2.03	0.05	37.81	66.20	74.94	77.43	79.80	0.164	0.198
27.340	40.17	491.02	0.007	0.027	25.241	21.703	96.29	3077.31	-75.96	-1504.91	6.53	50.04	-2.04	0.05	37.83	66.23	74.99	77.43	79.79	0.163	0.196
27.360	40.18	490.75	0.010	0.028	25.241	21.723	96.43	3058.76	-71.38	-1498.57	-5.41	43.99	-2.04	0.05	37.89	66.25	74.99	77.44	79.78	0.162	0.195
27.380	40.17	490.71	0.008	0.031	25.241	21.717	96.29	3043.73	-68.54	-1521.69	0.23	27.26	-2.00	0.05	37.89	66.28	75.01	77.47	79.81	0.162	0.195
27.400	40.16	490.86	0.008	0.030	25.243	21.708	96.29	3065.07	-70.41	-1537.51	11.50	24.53	-1.99	0.05	37.91	66.35	75.08	77.55	79.77	0.163	0.196
27.420	40.16	490.98	0.010	0.028	25.241	21.700	96.23	3066.53	-75.63	-1543.99	23.35	29.34	-1.99	0.05	37.97	66.38	75.13	77.58	79.81	0.163	0.196
27.440	40.14	491.18	0.010	0.027	25.243	21.681	96.29	3034.70	-77.56	-1531.23	23.55	38.43	-1.98	0.05	38.03	66.41	75.13	77.58	79.78	0.164	0.197
27.460	40.12	491.25	0.007	0.028	25.245	21.670	96.36	3024.02	-76.47	-1507.01	8.40	49.08	-2.01	0.05	37.89	66.38	75.16	77.58	79.81	0.165	0.198
27.480	40.10	491.49	0.008	0.024	25.242	21.647	96.29	3014.24	-66.94	-1506.01	0.66	41.80	-2.00	0.04	38.07	66.41	75.16	77.62	79.78	0.166	0.199
27.500	40.10	491.76	0.008	0.030	25.243	21.633	96.29	3019.57	-63.54	-1520.80	3.62	26.81	-1.99	0.04	38.13	66.44	75.23	77.69	79.79	0.167	0.200
27.520	40.11	491.92	-0.019	0.027	25.247	21.633	96.29	3051.99	-73.12	-1536.63	11.36	23.35	-1.99	0.05	38.15	66.48	75.24	77.72	79.80	0.167	0.200
27.540	40.12	491.88	0.004	0.025	25.246	21.643	96.29	3064.13	-77.74	-1543.71	21.28	26.79	-1.98	0.05	38.16	66.54	75.29	77.78	79.78	0.166	0.199
27.560	40.13	491.53	0.008	0.031	25.244	21.661	96.23	3060.34	-74.90	-1532.17	23.49	38.83	-2.00	0.05	38.18	66.55	75.29	77.81	79.82	0.165	0.198
27.580	40.13	491.21	0.004	0.027	25.243	21.675	96.36	3055.83	-71.64	-1507.21	10.75	50.78	-2.03	0.05	38.20	66.57	75.35	77.82	79.77	0.165	0.198
27.600	40.13	490.78	0.008	0.024	25.246	21.696	96.29	3038.92	-63.56	-1499.62	0.04	42.52	-2.03	0.04	38.20	66.63	75.38	77.85	79.82	0.164	0.197
27.620	40.16	490.39	0.007	0.027	25.243	21.726	96.29	3046.89	-65.68	-1515.69	2.47	29.91	-2.01	0.04	38.22	66.67	75.38	77.88	79.78	0.162	0.195
27.640	40.18	489.89	0.011	0.036	25.247	21.761	96.29	3080.70	-72.60	-1533.36	10.21	24.39	-2.01	0.05	38.30	66.70	75.42	77.95	79.81	0.160	0.193
27.660	40.18	489.18	0.005	0.027	25.245	21.795	96.36	3110.95	-76.49	-1546.76	22.25	24.39	-2.01	0.05	38.26	66.70	75.46	77.97	79.79	0.158	0.191
27.680	40.23	488.32	0.010	0.027	25.247	21.856	96.23	3123.34	-78.45	-1531.65	25.20	39.46	-2.04	0.05	38.22	66.73	75.48	77.98	79.80	0.155	0.188
27.700	40.23	487.38	0.011	0.031	25.244	21.898	96.29	3090.35	-73.78	-1504.83	13.36	48.76	-2.05	0.05	38.15	66.72	75.49	77.97	79.80	0.153	0.185
