TIRF Data File: Project 1320; Run 127
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
27.720	40.20	486.64	0.007	0.028	25.245	21.916	96.36	3058.23	-68.51	-1492.90	-1.43	43.52	-2.05	0.05	38.07	66.72	75.46	77.98	79.78	0.152	0.185
27.740	40.20	486.29	0.013	0.033	25.244	21.932	96.29	3087.97	-69.42	-1503.21	-4.14	35.46	-2.05	0.05	38.24	66.76	75.48	78.02	79.82	0.151	0.184
27.760	40.18	486.02	0.001	0.027	25.245	21.937	96.29	3119.42	-71.34	-1525.65	6.66	24.49	-2.04	0.05	38.20	66.76	75.53	78.05	79.77	0.151	0.183
27.780	40.17	485.70	0.007	0.025	25.248	21.943	96.16	3148.73	-78.03	-1539.99	19.07	26.27	-2.04	0.05	38.11	66.74	75.54	78.08	79.81	0.151	0.183
27.800	40.17	485.23	0.005	0.027	25.245	21.965	96.29	3152.71	-79.90	-1535.28	26.20	38.09	-2.05	0.05	37.93	66.73	75.54	78.10	79.78	0.149	0.182
27.820	40.18	484.84	0.010	0.028	25.249	21.987	96.23	3107.73	-77.86	-1512.13	17.66	48.17	-2.06	0.05	38.07	66.74	75.53	78.07	79.80	0.148	0.181
27.840	40.17	484.65	0.007	0.037	25.245	21.991	96.29	3064.01	-73.34	-1496.67	2.21	46.58	-2.05	0.05	38.07	66.74	75.54	78.02	79.80	0.148	0.180
27.860	40.16	484.77	0.007	0.024	25.246	21.981	96.23	3073.87	-70.60	-1506.64	-0.20	35.55	-2.04	0.05	38.05	66.76	75.57	78.01	79.78	0.149	0.181
27.880	40.15	484.96	0.008	0.034	25.242	21.967	96.23	3105.89	-69.27	-1522.03	6.69	23.86	-2.04	0.05	37.99	66.79	75.57	78.02	79.81	0.149	0.182
27.900	40.14	485.00	0.004	0.025	25.246	21.960	96.36	3140.43	-80.81	-1538.53	17.49	24.04	-2.04	0.05	37.99	66.80	75.59	78.02	79.77	0.150	0.182
27.920	40.13	484.73	0.007	0.022	25.244	21.967	96.36	3148.48	-88.90	-1536.55	24.19	34.71	-2.05	0.06	37.97	66.80	75.59	78.05	79.82	0.149	0.182
27.940	40.11	484.26	0.005	0.025	25.248	21.978	96.29	3107.22	-86.82	-1516.89	18.38	44.49	-2.05	0.06	37.91	66.80	75.59	78.00	79.78	0.149	0.181
27.960	40.09	483.71	0.010	0.034	25.244	21.988	96.29	3071.86	-78.13	-1500.48	3.65	50.30	-2.05	0.05	37.85	66.80	75.59	77.97	79.80	0.148	0.181
27.980	40.09	483.40	0.013	0.031	25.242	22.002	96.29	3056.71	-70.66	-1501.53	-2.82	38.67	-2.04	0.05	37.87	66.80	75.60	77.95	79.80	0.147	0.180
28.000	40.10	482.97	0.004	0.034	25.242	22.027	96.29	3074.05	-76.14	-1522.16	4.63	25.09	-2.02	0.05	37.93	66.82	75.62	77.97	79.80	0.146	0.179
28.020	40.11	482.42	0.004	0.028	25.241	22.057	96.29	3121.98	-85.69	-1539.45	14.49	26.82	-2.03	0.06	37.91	66.83	75.64	77.97	79.82	0.144	0.177
28.040	40.12	481.60	0.011	0.025	25.246	22.102	96.29	3132.30	-88.91	-1542.35	23.92	31.42	-2.03	0.06	37.97	66.83	75.67	77.97	79.79	0.142	0.175
28.060	40.12	480.55	0.008	0.030	25.243	22.153	96.23	3114.49	-87.47	-1528.23	23.10	44.55	-2.04	0.06	37.93	66.79	75.68	77.94	79.83	0.139	0.172
28.080	40.11	479.33	0.011	0.033	25.244	22.204	96.29	3083.45	-84.98	-1504.08	7.22	52.26	-2.05	0.06	37.99	66.82	75.70	77.89	79.79	0.137	0.169
28.100	40.14	478.20	0.007	0.024	25.244	22.272	96.29	3058.06	-80.26	-1506.00	-1.85	40.47	-2.03	0.05	37.97	66.77	75.71	77.88	79.83	0.133	0.166
28.120	40.16	477.34	0.013	0.028	25.247	22.323	96.29	3083.36	-81.73	-1520.84	1.10	28.96	-2.03	0.05	38.05	66.80	75.75	77.89	79.82	0.131	0.163
28.140	40.17	476.48	0.010	0.025	25.246	22.368	96.36	3127.92	-87.84	-1539.17	11.25	25.30	-2.03	0.06	38.01	66.79	75.78	77.87	79.83	0.129	0.161
28.160	40.21	475.35	0.013	0.025	25.244	22.442	96.23	3147.93	-94.54	-1549.05	22.33	28.08	-2.03	0.06	38.11	66.79	75.78	77.84	79.83	0.125	0.157
28.180	40.20	474.21	0.010	0.025	25.246	22.491	96.29	3142.77	-99.28	-1537.36	23.53	42.17	-2.04	0.06	38.15	66.80	75.79	77.84	79.82	0.122	0.154
28.200	40.18	473.08	0.014	0.030	25.243	22.534	96.43	3099.62	-94.57	-1515.52	12.49	51.61	-2.05	0.06	38.15	66.79	75.81	77.79	79.84	0.120	0.152
28.220	40.18	472.26	0.011	0.024	25.246	22.571	96.23	3054.47	-82.97	-1501.73	-0.72	44.26	-2.03	0.06	38.20	66.76	75.76	77.78	79.82	0.119	0.150
28.240	40.16	471.79	0.007	0.027	25.247	22.585	96.29	3051.93	-78.88	-1515.31	-0.29	33.09	-2.01	0.05	38.22	66.77	75.79	77.76	79.86	0.118	0.149
28.260	40.16	471.56	0.008	0.030	25.247	22.594	96.29	3060.79	-84.29	-1535.66	8.65	23.81	-1.99	0.05	38.03	66.77	75.78	77.79	79.83	0.117	0.149
28.280	40.15	471.28	0.013	0.025	25.246	22.604	96.23	3096.72	-93.08	-1551.66	20.58	23.40	-2.00	0.06	38.13	66.76	75.79	77.79	79.86	0.117	0.148
28.300	40.15	470.89	0.011	0.034	25.248	22.623	96.29	3127.75	-102.04	-1546.57	25.70	36.46	-2.02	0.07	38.32	66.76	75.79	77.76	79.85	0.116	0.148
28.320	40.14	470.38	0.001	0.033	25.250	22.642	96.36	3101.23	-96.57	-1520.54	17.19	47.19	-2.04	0.06	38.36	66.77	75.76	77.73	79.85	0.115	0.147
28.340	40.14	469.76	0.019	0.027	25.249	22.670	96.36	3066.84	-89.09	-1502.22	5.04	47.80	-2.04	0.06	38.38	66.73	75.73	77.69	79.88	0.114	0.145
28.360	40.12	469.21	0.014	0.030	25.249	22.688	96.23	3056.66	-83.02	-1504.99	0.23	37.65	-2.03	0.06	38.40	66.72	75.75	77.66	79.84	0.113	0.144
28.380	40.14	468.70	0.011	0.030	25.253	22.721	96.36	3068.87	-85.75	-1525.01	5.76	23.25	-2.01	0.06	38.40	66.70	75.71	77.63	79.88	0.111	0.143
28.400	40.13	468.12	0.008	0.022	25.252	22.744	96.29	3121.75	-98.80	-1541.47	14.01	23.26	-2.03	0.06	38.36	66.69	75.71	77.60	79.84	0.110	0.141
28.420	40.11	467.22	0.011	0.033	25.248	22.777	96.29	3165.72	-102.21	-1545.11	23.03	33.29	-2.05	0.07	38.40	66.70	75.67	77.58	79.88	0.108	0.140
28.440	40.10	465.97	0.004	0.028	25.251	22.830	96.36	3148.75	-102.77	-1527.95	22.93	42.14	-2.06	0.07	38.40	66.67	75.64	77.50	79.86	0.106	0.137
28.460	40.11	464.56	0.008	0.030	25.255	22.905	96.23	3125.01	-101.62	-1500.90	8.59	51.89	-2.08	0.07	38.40	66.66	75.60	77.49	79.88	0.103	0.133
28.480	40.13	463.35	0.010	0.030	25.255	22.981	96.36	3111.67	-93.57	-1495.58	-2.06	44.24	-2.08	0.06	38.44	66.63	75.51	77.43	79.86	0.099	0.130
28.500	40.16	462.29	0.004	0.028	25.255	23.049	96.29	3121.37	-94.99	-1513.71	-0.18	28.48	-2.06	0.06	38.38	66.60	75.48	77.39	79.87	0.096	0.126
28.520	40.18	461.28	0.013	0.031	25.254	23.108	96.29	3162.24	-102.56	-1533.81	8.37	25.12	-2.06	0.07	38.40	66.58	75.43	77.34	79.88	0.093	0.123
28.540	40.18	460.22	0.004	0.028	25.257	23.161	96.29	3182.11	-107.85	-1548.00	20.23	25.39	-2.06	0.07	38.28	66.55	75.42	77.33	79.87	0.090	0.121
28.560	40.18	459.09	0.013	0.033	25.256	23.221	96.29	3188.86	-111.17	-1542.49	26.05	35.99	-2.07	0.07	38.24	66.53	75.35	77.24	79.90	0.088	0.118
28.580	40.18	457.99	0.008	0.030	25.257	23.274	96.29	3190.06	-116.87	-1517.49	15.11	50.46	-2.10	0.08	38.36	66.45	75.27	77.18	79.86	0.085	0.115
28.600	40.19	457.10	0.005	0.022	25.258	23.330	96.23	3159.22	-112.92	-1498.88	0.65	48.48	-2.11	0.08	38.36	66.44	75.19	77.05	79.88	0.083	0.113
28.620	40.21	456.43	0.008	0.030	25.253	23.375	96.23	3151.96	-99.27	-1499.72	-3.59	38.18	-2.10	0.07	38.30	66.42	75.13	77.01	79.88	0.080	0.111
28.640	40.23	455.92	0.010	0.030	25.258	23.412	96.23	3168.80	-97.78	-1520.30	4.98	27.81	-2.08	0.06	38.32	66.39	75.08	76.94	79.88	0.079	0.109
28.660	40.22	455.53	0.007	0.027	25.259	23.424	96.43	3176.69	-108.64	-1543.07	15.10	22.98	-2.06	0.07	38.34	66.31	75.04	76.94	79.89	0.078	0.108
28.680	40.19	455.06	0.005	0.030	25.257	23.432	96.36	3195.37	-120.95	-1553.02	22.94	31.52	-2.06	0.08	38.36	66.29	75.01	76.85	79.86	0.078	0.108
28.700	40.17	454.56	0.013	0.028	25.259	23.447	96.23	3201.43	-122.27	-1536.14	23.10	44.50	-2.08	0.08	38.20	66.22	74.96	76.76	79.89	0.077	0.107
28.720	40.16	454.01	0.005	0.025	25.261	23.470	96.23	3172.67	-112.75	-1502.53	9.54	51.05	-2.11	0.08	38.28	66.19	74.91	76.66	79.87	0.076	0.106
28.740	40.14	453.46	0.013	0.030	25.258	23.487	96.36	3148.43	-105.37	-1492.07	-0.56	46.63	-2.11	0.07	38.20	66.15	74.83	76.53	79.90	0.075	0.105
28.760	40.11	453.11	0.010	0.031	25.260	23.489	96.36	3142.16	-101.94	-1506.76	0.49	32.34	-2.09	0.07	38.15	66.07	74.75	76.49	79.88	0.075	0.105
28.780	40.09	452.72	0.005	0.028	25.259	23.496	96.50	3148.07	-110.82	-1527.81	6.90	21.73	-2.06	0.07	38.15	66.01	74.71	76.39	79.89	0.075	0.105
28.800	40.08	452.21	0.004	0.017	25.261	23.514	96.29	3169.99	-121.61	-1551.21	18.11	25.34	-2.04	0.08	38.11	65.96	74.60	76.33	79.89	0.074	0.104
28.820	40.05	451.51	0.008	0.025	25.263	23.534	96.36	3171.36	-124.21	-1548.92	26.13	34.78	-2.05	0.08	38.28	65.91	74.56	76.26	79.88	0.073	0.103
28.840	40.05	450.61	0.014	0.033	25.262	23.578	96.29	3145.10	-124.95	-1523.96	20.53	46.59	-2.06	0.08	38.05	65.82	74.49	76.20	79.91	0.071	0.101
28.860	40.03	449.83	0.007	0.028	25.261	23.611	96.29	3120.52	-124.51	-1498.43	4.02	54.23	-2.08	0.08	38.03	65.77	74.39	76.08	79.87	0.070	0.099
28.880	40.02	449.12	0.007	0.030	25.264	23.640	96.29	3095.31	-112.93	-1494.26	-4.20	42.30	-2.07	0.08	37.99	65.69	74.33	76.00	79.91	0.069	0.098
28.900	39.99	448.58	0.013	0.033	25.260	23.652	96.23	3097.34	-111.50	-1518.30	1.90	28.03	-2.04	0.07	37.99	65.60	74.25	75.98	79.87	0.068	0.098
28.920	39.98	447.83	0.010	0.033	25.264	23.686	96.36	3121.28	-117.58	-1543.15	11.87	25.94	-2.02	0.08	37.95	65.58	74.20	75.94	79.90	0.067	0.096
28.940	39.98	446.93	0.008	0.030	25.262	23.736	96.29	3130.41	-126.32	-1561.99	23.36	25.83	-2.00	0.08	37.99	65.53	74.11	75.89	79.88	0.064	0.094
28.960	40.01	445.92	0.008	0.027	25.265	23.807	96.23	3138.20	-139.31	-1557.67	27.04	39.55	-2.01	0.09	37.95	65.49	74.01	75.82	79.88	0.061	0.090
28.980	40.05	444.82	0.008	0.025	25.267	23.890	96.23	3104.93	-138.73	-1521.45	14.56	51.67	-2.04	0.09	38.03	65.40	73.93	75.71	79.89	0.058	0.087
29.000	40.07	443.89	0.008	0.027	25.269	23.952	96.29	3048.65	-127.83	-1499.64	1.53	47.69	-2.03	0.09	38.01	65.39	73.84	75.62	79.87	0.055	0.084
29.020	40.08	443.18	0.004	0.024	25.268	23.996	96.23	3033.24	-118.89	-1505.49	-1.63	38.88	-2.01	0.08	38.09	65.31	73.75	75.58	79.91	0.053	0.082
29.040	40.11	442.79	0.008	0.031	25.268	24.031	96.29	3023.98	-117.47	-1531.08	4.62	23.99	-1.98	0.08	38.11	65.28	73.70	75.53	79.87	0.051	0.080
29.060	40.14	442.21	0.007	0.033	25.270	24.085	96.16	3033.35	-123.52	-1553.51	14.86	19.34	-1.95	0.08	38.05	65.20	73.59	75.49	79.91	0.049	0.078
29.080	40.18	441.74	0.004	0.030	25.272	24.130	96.36	3052.48	-135.10	-1559.36	21.95	30.77	-1.96	0.09	38.07	65.15	73.54	75.43	79.87	0.047	0.076
29.100	40.19	441.07	0.005	0.025	25.273	24.175	96.29	3015.23	-137.61	-1542.59	24.46	39.89	-1.95	0.09	38.09	65.08	73.45	75.39	79.88	0.045	0.074
29.120	40.22	440.45	0.007	0.028	25.280	24.229	96.29	2977.94	-133.52	-1519.52	16.05	49.98	-1.96	0.09	38.11	65.01	73.40	75.26	79.90	0.043	0.071
29.140	40.23	440.09	0.008	0.037	25.278	24.251	96.29	2956.75	-128.34	-1500.15	1.57	49.36	-1.97	0.09	38.15	64.95	73.29	75.21	79.89	0.042	0.070
29.160	40.20	439.70	0.008	0.031	25.278	24.259	96.36	2934.37	-117.96	-1508.94	0.21	31.10	-1.94	0.08	38.26	64.89	73.21	75.14	79.91	0.042	0.070
29.180	40.18	439.35	0.001	0.028	25.278	24.264	96.23	2941.40	-115.08	-1525.80	6.65	21.75	-1.93	0.08	38.24	64.84	73.15	75.08	79.88	0.042	0.070
29.200	40.18	438.88	0.005	0.027	25.279	24.287	96.43	2952.01	-114.85	-1546.50	18.08	20.36	-1.91	0.07	38.18	64.79	73.08	75.02	79.91	0.041	0.069
29.220	40.17	438.14	0.001	0.025	25.279	24.325	96.23	2945.41	-129.78	-1561.46	28.65	24.24	-1.89	0.08	38.20	64.74	72.99	74.95	79.88	0.039	0.067
29.240	40.15	437.28	0.011	0.033	25.281	24.362	96.23	2936.03	-140.89	-1541.20	24.43	40.12	-1.91	0.09	38.22	64.68	72.91	74.85	79.91	0.038	0.066
29.260	40.15	436.34	0.007	0.033	25.283	24.411	96.23	2896.36	-136.22	-1508.84	10.60	48.17	-1.92	0.09	38.20	64.61	72.83	74.75	79.89	0.036	0.063
29.280	40.15	435.64	0.005	0.028	25.282	24.451	96.29	2842.52	-124.54	-1492.61	-0.22	40.62	-1.90	0.08	38.18	64.52	72.75	74.68	79.89	0.034	0.062
29.300	40.12	434.98	0.013	0.027	25.285	24.471	96.29	2833.45	-119.74	-1499.67	-1.41	29.25	-1.89	0.08	38.20	64.45	72.66	74.60	79.89	0.033	0.061
29.320	40.10	434.39	0.010	0.031	25.282	24.490	96.36	2841.98	-117.56	-1524.39	8.14	18.12	-1.86	0.08	38.07	64.38	72.56	74.55	79.88	0.032	0.060
29.340	40.10	433.80	0.007	0.037	25.280	24.523	96.23	2845.03	-122.20	-1549.91	19.71	18.98	-1.84	0.08	38.09	64.33	72.50	74.49	79.92	0.031	0.059
29.360	40.07	432.98	0.005	0.028	25.284	24.552	96.29	2838.79	-134.31	-1557.42	29.07	28.41	-1.82	0.09	37.87	64.25	72.42	74.37	79.88	0.030	0.057
29.380	40.04	432.04	0.027	0.025	25.285	24.589	96.29	2793.53	-141.75	-1538.55	27.24	37.39	-1.82	0.09	38.01	64.16	72.31	74.31	79.91	0.028	0.056
29.400	40.01	431.26	0.008	0.031	25.282	24.613	96.29	2750.72	-138.53	-1504.85	11.82	44.53	-1.83	0.09	37.95	64.08	72.19	74.20	79.88	0.027	0.055
29.420	39.99	430.68	0.010	0.037	25.282	24.635	96.36	2734.01	-124.96	-1487.65	1.11	39.32	-1.84	0.08	37.91	64.03	72.09	74.10	79.90	0.026	0.054
29.440	40.00	430.13	0.007	0.030	25.284	24.675	96.29	2712.58	-115.88	-1498.96	2.54	21.95	-1.81	0.08	37.91	63.97	72.00	74.00	79.89	0.025	0.052
29.460	40.01	429.50	0.005	0.028	25.282	24.717	96.36	2710.40	-122.00	-1522.23	8.49	15.33	-1.78	0.08	37.58	63.82	71.92	73.92	79.88	0.023	0.050
29.480	40.02	428.80	0.013	0.039	25.282	24.760	96.23	2694.37	-130.77	-1546.82	19.81	14.79	-1.74	0.08	37.87	63.81	71.79	73.87	79.90	0.021	0.048
29.500	40.01	428.06	0.005	0.028	25.282	24.800	96.36	2646.84	-133.06	-1557.02	30.73	19.58	-1.70	0.09	37.91	63.70	71.67	73.76	79.88	0.019	0.047
29.520	40.01	427.32	0.011	0.022	25.286	24.843	96.36	2612.63	-132.21	-1534.12	28.01	35.94	-1.70	0.09	37.71	63.63	71.49	73.71	79.91	0.018	0.045
29.540	40.03	426.81	0.007	0.028	25.282	24.884	96.29	2578.25	-135.91	-1497.07	12.79	42.66	-1.72	0.09	37.83	63.56	71.37	73.58	79.88	0.016	0.043
29.560	40.05	426.38	0.013	0.031	25.280	24.921	96.29	2543.21	-130.63	-1473.59	-1.15	36.12	-1.73	0.09	37.75	63.47	71.19	73.46	79.92	0.014	0.042
29.580	40.06	426.03	0.008	0.028	25.282	24.948	96.29	2529.79	-116.72	-1485.01	1.78	25.52	-1.70	0.08	37.73	63.37	71.04	73.36	79.88	0.013	0.041
29.600	40.08	425.63	0.008	0.028	25.278	24.982	96.29	2497.67	-108.81	-1520.27	14.35	13.44	-1.64	0.07	37.81	63.28	70.88	73.30	79.89	0.012	0.039
29.620	40.09	425.05	0.010	0.044	25.275	25.022	96.29	2456.76	-121.13	-1547.84	21.20	11.35	-1.59	0.08	37.81	63.18	70.72	73.24	79.90	0.010	0.037
29.640	40.07	424.42	0.005	0.027	25.277	25.048	96.29	2418.02	-131.06	-1562.10	29.51	19.78	-1.55	0.08	37.79	63.06	70.52	73.13	79.88	0.009	0.036
29.660	40.05	423.88	0.004	0.027	25.277	25.068	96.29	2345.82	-121.07	-1540.47	31.27	30.02	-1.52	0.08	37.75	62.97	70.31	73.02	79.92	0.008	0.036
29.680	40.04	423.41	0.007	0.031	25.276	25.090	96.36	2279.33	-116.34	-1504.20	17.69	38.13	-1.52	0.08	37.73	62.84	70.09	72.88	79.88	0.007	0.035
29.700	40.03	423.21	0.007	0.031	25.274	25.096	96.29	2235.16	-118.60	-1484.08	4.50	31.68	-1.51	0.08	37.69	62.67	69.92	72.76	79.91	0.007	0.034
29.720	40.03	422.98	0.010	0.030	25.274	25.110	96.29	2195.00	-110.91	-1497.21	5.49	15.27	-1.47	0.07	37.65	62.59	69.71	72.69	79.88	0.007	0.034
29.740	40.05	422.78	0.013	0.031	25.270	25.130	96.23	2168.93	-102.41	-1528.21	14.15	8.82	-1.42	0.07	37.63	62.46	69.51	72.59	79.90	0.006	0.033
29.760	40.06	422.20	0.010	0.027	25.273	25.177	96.29	2113.87	-106.93	-1554.04	21.62	7.05	-1.36	0.07	37.79	62.29	69.27	72.50	79.89	0.004	0.031
29.780	40.06	421.53	0.008	0.028	25.271	25.214	96.36	2040.66	-111.37	-1561.52	29.64	11.42	-1.31	0.07	37.65	62.13	69.02	72.39	79.88	0.002	0.030
29.800	40.04	420.91	0.010	0.030	25.272	25.239	96.29	1975.45	-109.01	-1542.32	31.02	26.22	-1.28	0.07	37.65	61.97	68.78	72.29	79.91	0.001	0.029
29.820	40.03	420.55	0.011	0.033	25.272	25.254	96.36	1899.05	-106.26	-1498.59	18.90	34.33	-1.27	0.07	37.63	61.78	68.53	72.17	79.87	0.001	0.028
29.840	40.00	420.12	0.010	0.034	25.265	25.260	96.23	1831.97	-104.33	-1468.09	4.70	27.72	-1.25	0.07	37.75	61.63	68.28	72.04	79.92	0.000	0.028
29.860	39.98	419.77	0.008	0.022	25.268	25.272	96.23	1795.20	-98.60	-1483.74	7.29	15.27	-1.21	0.07	37.61	61.41	68.01	71.92	79.88	0.000	0.027
29.880	39.97	419.26	0.004	0.027	25.265	25.291	96.23	1747.97	-85.88	-1522.77	18.75	3.81	-1.15	0.06	37.73	61.29	67.76	71.79	79.91	-0.001	0.026
29.900	39.94	418.56	0.005	0.028	25.261	25.319	96.29	1678.34	-88.39	-1543.07	23.52	-1.74	-1.09	0.06	37.67	61.09	67.55	71.72	79.88	-0.002	0.025
29.920	39.94	417.82	0.005	0.031	25.258	25.364	96.36	1596.44	-91.39	-1553.33	33.46	0.96	-1.03	0.06	37.63	60.90	67.29	71.60	79.91	-0.004	0.024
29.940	39.95	416.96	0.007	0.028	25.259	25.422	96.36	1507.67	-82.65	-1535.79	38.23	11.42	-0.98	0.05	37.69	60.74	67.03	71.43	79.90	-0.006	0.021
29.960	39.96	416.33	0.004	0.027	25.261	25.463	96.23	1433.07	-79.88	-1494.80	25.50	23.01	-0.96	0.05	37.63	60.52	66.74	71.29	79.88	-0.008	0.020
29.980	39.95	415.82	0.010	0.031	25.254	25.488	96.36	1364.45	-80.64	-1466.80	14.99	18.90	-0.93	0.05	37.59	60.33	66.45	71.14	79.92	-0.009	0.019
30.000	39.93	415.36	0.008	0.030	25.247	25.508	96.29	1298.86	-74.27	-1474.21	15.25	3.42	-0.88	0.05	37.73	60.12	66.20	70.98	79.86	-0.010	0.018
30.020	39.94	414.81	0.019	0.031	25.241	25.545	96.29	1251.70	-74.17	-1496.30	16.64	-2.66	-0.84	0.05	37.83	59.95	65.93	70.84	79.92	-0.012	0.016
30.040	39.96	414.14	0.010	0.025	25.238	25.598	96.16	1183.07	-65.51	-1519.43	23.61	-6.27	-0.78	0.04	37.75	59.79	65.73	70.68	79.86	-0.014	0.014
30.060	39.97	413.36	0.011	0.028	25.235	25.652	96.29	1084.61	-54.66	-1535.79	34.05	-8.71	-0.71	0.04	37.71	59.61	65.48	70.55	79.88	-0.016	0.012
30.080	39.97	412.58	0.011	0.031	25.233	25.703	96.29	1004.63	-54.26	-1529.40	40.34	3.43	-0.66	0.04	37.69	59.45	65.24	70.39	79.88	-0.018	0.010
