TIRF Data File: Project 1320; Run 126
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
27.220	40.15	500.59	-0.009	0.024	25.011	21.278	68.72	3423.56	-110.35	-1508.41	16.72	57.02	-2.27	0.07	38.26	66.44	65.03	74.72	79.62	0.175	0.216
27.580	40.30	501.30	-0.006	0.022	25.005	21.327	68.79	3341.45	-105.20	-1518.37	20.88	53.04	-2.20	0.07	38.56	67.02	65.55	75.29	79.65	0.172	0.213
27.600	40.28	500.91	-0.006	0.027	25.004	21.334	68.79	3342.44	-103.51	-1506.51	6.02	55.91	-2.22	0.07	38.54	67.05	65.54	75.31	79.63	0.172	0.213
27.620	40.25	500.05	-0.002	0.027	25.006	21.358	68.72	3314.61	-106.26	-1509.36	5.41	38.62	-2.20	0.07	38.48	67.05	65.57	75.34	79.65	0.171	0.212
27.640	40.23	499.15	-0.003	0.024	25.005	21.382	68.72	3322.48	-113.00	-1524.04	14.46	27.67	-2.18	0.07	38.48	67.10	65.62	75.34	79.64	0.169	0.210
27.660	40.17	497.98	-0.006	0.015	25.009	21.403	68.86	3360.13	-116.88	-1531.70	26.75	30.49	-2.19	0.08	38.58	67.08	65.66	75.39	79.65	0.168	0.209
27.680	40.13	496.45	-0.015	0.015	25.009	21.446	68.72	3373.06	-113.94	-1532.74	34.23	39.44	-2.20	0.07	38.46	67.05	65.66	75.39	79.66	0.166	0.207
27.700	40.12	494.97	-0.011	0.017	25.008	21.505	68.65	3384.16	-112.85	-1518.71	22.06	52.45	-2.23	0.07	38.52	67.05	65.66	75.42	79.65	0.163	0.203
27.720	40.11	493.44	-0.006	0.017	25.010	21.564	68.79	3397.48	-111.88	-1508.38	5.97	56.41	-2.25	0.07	38.48	67.07	65.71	75.43	79.68	0.160	0.200
27.740	40.08	492.15	-0.009	0.021	25.007	21.608	68.79	3387.85	-111.32	-1507.25	2.49	39.88	-2.25	0.07	38.70	67.10	65.73	75.44	79.64	0.157	0.198
27.760	40.09	491.14	-0.006	0.025	25.006	21.658	68.79	3411.30	-125.06	-1523.83	11.96	29.74	-2.24	0.08	38.54	67.12	65.81	75.42	79.68	0.155	0.195
27.780	40.09	490.28	-0.009	0.006	25.010	21.696	68.79	3432.76	-131.62	-1532.21	23.03	32.17	-2.24	0.09	38.46	67.17	65.81	75.44	79.65	0.153	0.193
27.800	40.10	489.57	-0.008	0.021	25.007	21.729	68.79	3415.66	-127.32	-1533.38	30.82	38.31	-2.23	0.08	38.48	67.17	65.81	75.46	79.68	0.151	0.191
