ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
625.419,40.32,414.93,6.008,1.019,24.565,25.640,55.37,-19.99,-2695.16,-1098.04,46.06,38.47,0.02,2.45,27.49,60.01,67.93,59.39,84.41,-0.042
625.439,40.30,414.89,5.936,1.022,24.572,25.631,55.37,-30.30,-2659.88,-1095.08,48.31,35.98,0.03,2.43,27.44,59.95,67.85,59.34,84.46,-0.041
625.459,40.27,414.69,5.861,1.025,24.568,25.629,55.51,-53.85,-2636.98,-1097.37,48.61,34.21,0.05,2.40,27.44,59.92,67.81,59.31,84.43,-0.041
625.479,40.25,414.73,5.778,1.024,24.570,25.615,55.57,-51.53,-2638.34,-1100.34,47.35,37.92,0.05,2.40,27.46,59.85,67.74,59.34,84.45,-0.041
625.499,40.23,414.73,5.693,1.027,24.573,25.607,55.37,-50.79,-2654.07,-1110.73,48.33,38.69,0.05,2.39,27.55,59.82,67.65,59.34,84.44,-0.040
625.519,40.23,414.96,5.610,1.024,24.576,25.600,55.51,-49.61,-2675.22,-1125.87,49.31,38.92,0.04,2.38,27.18,59.77,67.55,59.30,84.43,-0.040
625.539,40.25,415.00,5.532,1.024,24.576,25.612,55.44,-34.56,-2675.36,-1122.20,47.69,41.38,0.03,2.38,27.32,59.73,67.49,59.31,84.45,-0.040
625.559,40.25,415.00,5.442,1.022,24.582,25.613,55.44,-18.83,-2658.24,-1114.59,46.99,44.20,0.02,2.38,27.46,59.74,67.43,59.29,84.42,-0.040
625.579,40.22,414.89,5.360,1.019,24.579,25.609,55.37,-26.34,-2635.59,-1103.68,45.49,43.40,0.02,2.39,27.46,59.67,67.37,59.27,84.46,-0.040
625.599,40.20,414.69,5.278,1.022,24.580,25.613,55.37,-45.66,-2615.45,-1104.47,47.32,43.01,0.04,2.37,27.44,59.60,67.32,59.24,84.42,-0.040
625.619,40.21,414.69,5.199,1.021,24.586,25.622,55.37,-54.11,-2602.22,-1104.92,49.29,44.94,0.05,2.36,27.42,59.51,67.19,59.21,84.45,-0.040
625.639,40.23,414.93,5.125,1.019,24.589,25.619,55.37,-46.33,-2600.03,-1113.08,48.84,47.15,0.04,2.34,27.44,59.47,67.13,59.24,84.43,-0.040
