ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
0.000,-0.04,0.30,-0.019,0.024,25.519,-31.100,82.81,0.94,-20.42,-1077.89,18.65,5.77,0.00,0.02,32.21,27.22,28.01,27.88,79.98,-1.821
0.020,-0.04,0.22,-0.015,0.030,25.521,-47.481,82.74,17.38,-21.23,-1079.06,18.81,10.63,-0.02,0.02,32.21,27.21,28.00,27.88,80.00,-1.538
0.040,-0.03,0.26,-0.012,0.028,25.518,-31.018,82.81,10.14,-17.73,-1079.13,19.41,7.42,-0.01,0.02,32.17,27.22,27.98,27.91,79.96,-1.823
0.060,-0.05,0.22,-0.018,0.027,25.518,-58.529,82.74,3.88,-19.77,-1076.89,19.00,7.08,0.00,0.02,32.21,27.21,27.95,27.88,80.00,-1.436
0.080,-0.04,0.26,-0.021,0.031,25.523,-35.722,82.95,18.39,-18.49,-1077.02,18.80,10.85,-0.02,0.02,32.21,27.21,27.94,27.89,79.97,-1.714
0.100,-0.05,0.22,-0.021,0.021,25.521,-58.529,82.74,4.70,-18.29,-1078.33,19.46,5.98,0.00,0.02,32.15,27.21,27.92,27.91,80.00,-1.436
0.120,-0.03,0.22,-0.019,0.022,25.521,-36.432,82.81,6.75,-19.71,-1079.14,19.12,7.86,-0.01,0.02,32.17,27.22,27.95,27.94,79.98,-1.700
0.140,-0.04,0.22,-0.017,0.025,25.520,-41.957,82.74,17.56,-21.17,-1076.90,18.58,10.22,-0.02,0.02,32.15,27.21,27.92,27.92,79.99,-1.608
0.160,-0.04,0.26,-0.018,0.024,25.521,-35.722,82.81,2.11,-18.32,-1078.10,19.79,5.31,0.00,0.02,32.15,27.21,27.94,27.92,79.99,-1.714
0.180,-0.05,0.26,-0.021,0.030,25.519,-49.831,82.88,12.20,-20.53,-1077.54,18.93,9.30,-0.01,0.02,32.15,27.22,27.95,27.91,79.97,-1.512
0.200,-0.04,0.26,-0.019,0.021,25.523,-40.425,82.88,15.15,-18.31,-1077.39,19.52,9.16,-0.01,0.02,32.17,27.21,27.95,27.92,80.01,-1.631
0.220,-0.05,0.22,-0.019,0.031,25.517,-58.529,82.81,0.63,-18.44,-1078.96,19.64,5.39,0.00,0.02,32.15,27.24,27.98,27.89,79.97,-1.436
0.240,-0.05,0.26,-0.018,0.031,25.519,-49.831,82.81,14.34,-21.25,-1077.64,18.62,10.26,-0.01,0.02,32.13,27.22,27.98,27.92,80.01,-1.512
0.260,-0.05,0.22,-0.024,0.022,25.521,-58.529,82.81,10.99,-18.33,-1077.55,19.34,8.04,-0.01,0.02,32.15,27.19,27.98,27.94,79.97,-1.436
0.280,-0.03,0.26,-0.018,0.021,25.519,-31.018,82.88,1.74,-18.98,-1076.32,18.90,6.13,0.00,0.02,32.13,27.19,28.03,27.92,79.99,-1.823
0.300,-0.05,0.30,-0.017,0.031,25.517,-43.384,82.88,18.39,-19.18,-1079.18,18.96,10.84,-0.02,0.02,32.13,27.19,28.01,27.91,79.98,-1.588
0.320,-0.04,0.26,-0.021,0.030,25.521,-35.722,82.88,5.76,-17.05,-1077.72,19.34,6.45,-0.01,0.02,32.13,27.19,28.06,27.97,79.98,-1.714
0.340,-0.04,0.22,-0.022,0.024,25.519,-41.957,82.81,4.87,-19.04,-1077.01,18.96,7.03,0.00,0.02,32.11,27.19,28.06,27.95,80.00,-1.608
0.360,-0.04,0.30,-0.019,0.025,25.516,-31.100,82.81,17.37,-19.78,-1079.18,18.90,10.63,-0.02,0.02,32.15,27.19,28.03,27.98,79.96,-1.820
0.380,-0.04,0.22,-0.021,0.025,25.520,-41.957,82.95,3.17,-18.36,-1077.63,19.33,5.79,0.00,0.02,32.15,27.21,28.06,27.95,80.01,-1.608
0.400,-0.03,0.22,-0.017,0.028,25.516,-36.432,82.88,6.57,-21.19,-1079.86,18.93,8.27,-0.01,0.02,32.13,27.21,28.06,27.94,79.97,-1.700
0.420,-0.03,0.22,-0.018,0.031,25.519,-36.432,82.81,16.25,-19.18,-1076.32,18.61,9.89,-0.02,0.02,32.17,27.24,28.05,27.91,80.00,-1.700
