ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.440,-0.03,0.30,-0.015,0.028,25.516,-22.911,82.88,0.63,-18.40,-1078.49,19.22,5.39,0.00,0.02,32.13,27.21,28.05,27.92,79.98,-2.114
0.460,-0.04,0.22,-0.014,0.025,25.518,-41.957,82.88,11.70,-19.76,-1077.53,19.08,9.33,-0.01,0.02,32.15,27.21,28.06,27.91,79.99,-1.608
0.480,-0.03,0.30,-0.021,0.027,25.522,-27.005,82.88,13.85,-19.10,-1078.97,19.36,8.83,-0.01,0.02,32.13,27.24,28.06,27.92,79.99,-1.945
0.500,-0.03,0.26,-0.017,0.025,25.518,-31.018,82.88,2.19,-18.35,-1078.35,19.42,5.84,0.00,0.02,32.17,27.22,28.06,27.91,79.97,-1.823
0.520,-0.04,0.26,-0.021,0.027,25.520,-35.722,82.88,15.58,-19.80,-1077.04,18.62,10.33,-0.01,0.02,32.17,27.25,28.08,27.89,80.00,-1.714
0.540,-0.04,0.22,-0.014,0.028,25.518,-41.957,82.81,8.66,-17.03,-1078.41,19.43,7.50,-0.01,0.02,32.17,27.21,28.06,27.88,79.97,-1.608
0.560,-0.03,0.30,-0.021,0.025,25.518,-27.005,82.81,1.03,-20.44,-1078.60,18.73,6.30,0.00,0.02,32.17,27.21,28.05,27.89,80.00,-1.945
0.580,-0.04,0.26,-0.022,0.024,25.517,-40.425,82.81,15.86,-20.46,-1080.03,18.71,10.44,-0.01,0.02,32.17,27.19,28.06,27.92,79.97,-1.631
0.600,-0.04,0.26,-0.021,0.025,25.518,-35.722,82.74,5.76,-16.99,-1077.85,19.20,6.45,-0.01,0.02,32.17,27.19,28.06,27.91,80.00,-1.714
0.620,-0.04,0.26,-0.017,0.024,25.517,-35.722,82.81,6.21,-19.73,-1079.02,19.29,7.63,-0.01,0.02,32.21,27.19,28.03,27.92,79.99,-1.714
0.640,-0.03,0.26,-0.025,0.022,25.519,-31.018,82.81,17.29,-20.43,-1079.18,18.81,10.10,-0.02,0.02,32.17,27.18,28.03,27.92,79.98,-1.823
0.660,-0.05,0.26,-0.021,0.030,25.518,-49.831,82.95,3.39,-17.74,-1077.03,19.14,5.64,0.00,0.02,32.19,27.21,28.01,27.92,79.99,-1.512
0.680,-0.04,0.30,-0.017,0.022,25.517,-31.100,82.74,9.87,-20.42,-1077.94,18.47,8.76,-0.01,0.02,32.23,27.21,28.01,27.89,79.97,-1.820
0.700,-0.03,0.26,-0.022,0.025,25.522,-31.018,82.81,15.19,-19.78,-1078.49,18.81,9.41,-0.01,0.02,32.17,27.19,27.98,27.92,80.01,-1.823
0.720,-0.03,0.26,-0.017,0.027,25.518,-31.018,82.74,0.63,-18.37,-1079.67,19.77,5.39,0.00,0.02,32.19,27.18,27.98,27.92,79.97,-1.823
0.740,-0.04,0.26,-0.021,0.030,25.519,-40.425,82.81,13.29,-19.85,-1078.03,18.33,10.04,-0.01,0.02,32.17,27.22,27.98,27.88,79.99,-1.631
0.760,-0.05,0.26,-0.018,0.031,25.517,-49.831,82.81,10.23,-17.77,-1079.12,19.38,7.95,-0.01,0.02,32.19,27.19,27.97,27.88,79.97,-1.512
0.780,-0.04,0.22,-0.017,0.024,25.523,-41.957,82.81,0.99,-19.02,-1079.07,19.41,6.04,0.00,0.02,32.19,27.22,28.00,27.91,79.99,-1.608
0.800,-0.05,0.30,-0.018,0.025,25.516,-43.384,82.68,15.10,-20.47,-1080.51,19.14,10.35,-0.01,0.02,32.19,27.21,27.97,27.89,79.99,-1.588
0.820,-0.05,0.26,-0.021,0.027,25.518,-49.831,82.88,8.53,-17.71,-1078.55,19.16,6.70,-0.01,0.02,32.13,27.18,28.00,27.89,79.97,-1.512
0.840,-0.04,0.26,-0.019,0.027,25.518,-35.722,82.74,4.06,-18.39,-1080.02,19.23,6.67,0.00,0.02,32.13,27.18,27.98,27.85,80.00,-1.714
0.860,-0.04,0.26,-0.018,0.030,25.518,-35.722,82.81,19.15,-19.86,-1077.87,18.50,10.93,-0.02,0.02,32.15,27.24,27.98,27.85,79.96,-1.714
0.880,-0.04,0.26,-0.017,0.027,25.518,-35.722,82.88,4.70,-19.08,-1080.62,19.38,5.97,0.00,0.02,32.15,27.19,27.98,27.86,80.01,-1.714
0.900,-0.04,0.22,-0.022,0.024,25.521,-47.481,82.81,5.98,-20.44,-1078.81,18.37,7.76,-0.01,0.02,32.17,27.24,27.98,27.91,79.97,-1.537
0.920,-0.05,0.30,-0.022,0.027,25.520,-43.384,82.74,15.77,-18.41,-1079.91,19.20,9.92,-0.01,0.02,32.15,27.25,28.00,27.86,79.99,-1.588
0.940,-0.03,0.26,-0.018,0.025,25.516,-31.018,82.81,0.36,-16.96,-1079.80,19.83,5.27,0.00,0.02,32.13,27.21,27.98,27.91,79.98,-1.823
0.960,-0.04,0.26,-0.018,0.025,25.520,-35.722,82.74,10.68,-20.46,-1077.67,18.79,9.12,-0.01,0.02,32.21,27.24,28.00,27.92,79.98,-1.714
0.980,-0.04,0.30,-0.021,0.024,25.517,-31.100,82.74,14.61,-19.06,-1078.36,19.12,8.92,-0.01,0.02,32.17,27.21,27.98,27.89,79.99,-1.820
1.000,-0.04,0.26,-0.019,0.025,25.518,-35.722,82.74,1.92,-19.05,-1077.64,19.22,5.72,0.00,0.02,32.21,27.22,27.98,27.92,79.97,-1.714
1.020,-0.04,0.22,-0.018,0.024,25.519,-41.957,82.81,15.59,-21.13,-1078.23,18.95,10.33,-0.01,0.02,32.17,27.22,27.98,27.86,80.01,-1.608
1.040,-0.03,0.22,-0.021,0.027,25.518,-36.432,82.81,10.69,-18.39,-1078.87,19.66,7.66,-0.01,0.02,32.17,27.24,28.01,27.91,79.97,-1.700
1.060,-0.05,0.22,-0.025,0.022,25.519,-58.529,82.74,1.21,-19.70,-1077.89,18.78,5.89,0.00,0.02,32.19,27.19,27.98,27.88,80.00,-1.436
1.080,-0.05,0.26,-0.019,0.030,25.518,-49.831,82.88,14.88,-20.54,-1079.19,18.75,10.49,-0.01,0.02,32.19,27.24,28.00,27.89,79.97,-1.512
1.100,-0.03,0.26,-0.019,0.030,25.514,-31.018,82.88,6.53,-19.14,-1080.13,18.91,6.54,-0.01,0.02,32.19,27.24,28.01,27.94,79.99,-1.823
1.120,-0.04,0.30,-0.015,0.030,25.518,-31.100,82.74,3.89,-19.83,-1079.42,18.71,7.08,0.00,0.02,32.17,27.22,28.00,27.92,79.99,-1.820
1.140,-0.04,0.22,-0.018,0.027,25.518,-41.957,82.68,17.87,-19.80,-1080.49,19.24,10.61,-0.02,0.02,32.19,27.22,28.00,27.94,79.96,-1.608
1.160,-0.05,0.22,-0.017,0.021,25.519,-58.529,82.88,3.90,-17.59,-1080.36,20.02,5.62,0.00,0.02,32.21,27.21,28.03,27.95,80.00,-1.436
6.280,-0.05,0.34,-0.018,0.024,26.127,-38.414,82.88,11.12,-9.38,-201.31,2.61,7.17,-0.06,0.05,32.09,27.18,27.98,28.01,79.89,-1.680
6.300,-0.03,0.26,-0.019,0.025,26.125,-31.018,82.74,3.30,-10.79,-202.81,2.55,6.38,-0.02,0.05,32.09,27.22,28.00,28.01,79.86,-1.842
6.320,-0.04,0.26,-0.015,0.024,26.125,-35.722,82.81,18.63,-12.17,-201.83,2.38,10.50,-0.09,0.06,32.15,27.19,27.95,27.99,79.90,-1.731
6.340,-0.04,0.30,-0.018,0.024,26.123,-31.100,82.74,6.21,-8.66,-202.41,3.45,5.97,-0.03,0.04,32.13,27.22,27.98,28.02,79.87,-1.840
6.360,-0.04,0.22,-0.014,0.027,26.121,-47.481,82.88,6.53,-12.92,-202.65,2.35,7.81,-0.03,0.06,32.15,27.22,27.97,27.99,79.90,-1.550
6.380,-0.03,0.30,-0.017,0.024,26.125,-27.005,82.74,20.14,-12.17,-203.39,2.38,10.69,-0.10,0.06,32.17,27.24,28.00,27.98,79.87,-1.967
6.400,-0.05,0.30,-0.018,0.025,26.125,-43.384,82.81,2.90,-10.10,-200.66,2.41,5.47,-0.01,0.05,32.15,27.22,28.00,27.98,79.89,-1.602
6.420,-0.04,0.26,-0.019,0.022,26.123,-35.722,82.81,11.21,-12.80,-202.02,2.12,9.16,-0.06,0.06,32.17,27.25,27.98,27.98,79.88,-1.731
6.440,-0.04,0.26,-0.015,0.028,26.122,-35.722,82.88,17.47,-10.91,-203.41,2.59,9.50,-0.09,0.05,32.15,27.25,28.00,27.99,79.87,-1.731
6.460,-0.03,0.34,-0.015,0.028,26.126,-20.286,82.81,2.68,-10.88,-202.69,2.71,5.62,-0.01,0.05,32.15,27.21,27.97,27.99,79.89,-2.288
6.480,-0.04,0.26,-0.019,0.024,26.125,-35.722,82.81,15.06,-13.55,-202.70,2.07,9.89,-0.07,0.07,32.11,27.19,27.97,28.01,79.86,-1.731
6.500,-0.03,0.26,-0.018,0.024,26.123,-31.018,82.68,14.02,-9.39,-201.29,2.60,8.22,-0.07,0.05,32.15,27.22,27.98,27.99,79.90,-1.842
6.520,-0.05,0.22,-0.012,0.024,26.123,-58.529,82.95,3.00,-11.43,-202.56,2.80,6.00,-0.01,0.06,32.17,27.18,28.00,28.01,79.86,-1.446
6.540,-0.04,0.26,-0.018,0.028,26.124,-35.722,82.88,18.67,-13.00,-201.24,1.96,10.77,-0.09,0.06,32.13,27.19,28.01,27.99,79.89,-1.731
6.560,-0.05,0.30,-0.019,0.025,26.121,-43.384,82.88,9.11,-10.81,-201.45,2.19,7.01,-0.05,0.05,32.15,27.18,28.00,28.01,79.88,-1.602
6.580,-0.05,0.22,-0.017,0.027,26.124,-58.529,82.88,4.68,-11.53,-202.08,2.33,7.24,-0.02,0.06,32.17,27.19,28.01,28.01,79.88,-1.446
6.600,-0.05,0.22,-0.017,0.022,26.125,-58.529,82.81,19.16,-12.82,-201.23,2.01,10.74,-0.10,0.06,32.19,27.19,28.06,28.01,79.89,-1.446
6.620,-0.05,0.26,-0.018,0.022,26.123,-49.831,82.88,6.49,-11.40,-201.81,2.72,6.08,-0.03,0.06,32.15,27.18,28.01,28.01,79.87,-1.524
6.640,-0.03,0.26,-0.011,0.031,26.122,-26.315,82.81,8.31,-13.05,-203.23,2.58,8.11,-0.04,0.06,32.17,27.15,28.05,27.99,79.89,-1.993
6.660,-0.04,0.22,-0.019,0.025,26.123,-41.957,82.81,17.77,-11.52,-202.10,2.14,9.88,-0.09,0.06,32.15,27.14,28.01,27.98,79.86,-1.623
10.780,-0.04,0.30,-0.008,0.028,25.942,-31.100,82.88,24.52,-21.44,-418.21,13.32,15.43,-0.06,0.05,32.17,27.24,27.90,27.99,79.88,-1.834
10.800,-0.04,0.22,-0.014,0.027,25.944,-47.481,82.88,9.78,-20.67,-416.19,13.21,10.35,-0.02,0.05,32.17,27.24,27.94,28.01,79.90,-1.546
10.820,-0.05,0.22,-0.011,0.028,25.940,-58.529,82.81,12.64,-22.10,-416.74,13.22,12.59,-0.03,0.05,32.15,27.22,27.92,28.01,79.87,-1.443
10.840,-0.05,0.26,-0.012,0.028,25.940,-49.831,82.81,23.88,-19.36,-416.07,13.40,14.67,-0.06,0.05,32.17,27.24,27.90,28.04,79.90,-1.521
10.860,-0.04,0.22,-0.018,0.025,25.940,-47.481,82.95,7.23,-19.23,-416.68,13.91,9.95,-0.02,0.05,32.17,27.21,27.95,28.02,79.86,-1.546
10.880,-0.04,0.30,-0.012,0.025,25.940,-31.100,82.74,17.90,-21.34,-416.83,13.18,14.45,-0.04,0.05,32.21,27.21,27.94,28.02,79.90,-1.834
10.900,-0.03,0.26,-0.012,0.022,25.943,-31.018,82.88,20.76,-18.49,-415.84,13.93,13.77,-0.05,0.04,32.21,27.22,27.95,28.02,79.87,-1.836
10.920,-0.04,0.22,-0.014,0.027,25.942,-41.957,82.88,7.81,-20.67,-414.77,13.04,10.45,-0.02,0.05,32.15,27.21,27.94,28.02,79.88,-1.618
10.940,-0.04,0.26,-0.015,0.022,25.945,-35.722,82.81,22.28,-21.27,-416.66,13.37,15.42,-0.05,0.05,32.21,27.19,27.98,28.04,79.89,-1.726
10.960,-0.04,0.22,-0.011,0.028,25.944,-47.481,82.81,16.04,-19.33,-417.44,13.77,12.16,-0.04,0.05,32.19,27.22,27.97,28.02,79.87,-1.546
10.980,-0.04,0.26,-0.011,0.027,25.944,-35.722,82.81,8.66,-20.67,-416.91,13.30,11.07,-0.02,0.05,32.21,27.24,27.97,28.04,79.90,-1.726
11.000,-0.05,0.22,-0.011,0.022,25.943,-58.529,82.81,23.49,-22.66,-417.50,13.05,15.22,-0.06,0.05,32.19,27.25,27.95,28.02,79.86,-1.443
11.020,-0.03,0.26,-0.014,0.025,25.942,-31.018,82.88,12.36,-19.25,-415.33,13.54,11.02,-0.03,0.05,32.19,27.25,27.97,28.04,79.90,-1.836
11.040,-0.03,0.22,-0.008,0.025,25.940,-36.432,82.81,10.35,-20.62,-418.08,13.84,12.32,-0.02,0.05,32.17,27.25,27.97,28.01,79.87,-1.712
11.060,-0.05,0.26,-0.012,0.024,25.943,-49.831,82.88,23.98,-21.32,-416.78,13.18,15.20,-0.06,0.05,32.19,27.25,27.98,28.05,79.89,-1.521
11.080,-0.04,0.22,-0.014,0.027,25.942,-41.957,82.81,7.77,-18.58,-416.67,14.01,10.19,-0.02,0.04,32.21,27.28,27.98,28.05,79.88,-1.618
11.100,-0.04,0.22,-0.008,0.030,25.941,-41.957,82.74,14.28,-22.15,-417.70,12.94,13.57,-0.03,0.05,32.15,27.24,27.95,28.05,79.88,-1.618
11.120,-0.04,0.26,-0.011,0.031,25.939,-35.722,82.88,21.83,-18.73,-415.95,13.67,14.25,-0.05,0.05,32.11,27.25,27.95,28.07,79.89,-1.726
11.140,-0.04,0.26,-0.011,0.028,25.942,-35.722,82.88,7.27,-18.62,-418.36,13.82,10.22,-0.02,0.04,32.15,27.24,27.98,28.05,79.86,-1.726
11.160,-0.04,0.26,-0.012,0.025,25.942,-40.425,82.81,19.14,-20.66,-414.07,12.76,14.51,-0.05,0.05,32.13,27.25,27.97,28.04,79.91,-1.642
15.280,-0.05,0.22,-0.006,0.027,25.785,-58.529,82.81,13.49,-20.36,-642.34,16.64,10.39,-0.02,0.03,32.13,27.25,28.05,28.04,79.89,-1.441
15.300,-0.03,0.22,-0.005,0.025,25.785,-36.432,82.88,19.73,-17.57,-640.14,16.84,10.74,-0.03,0.03,32.17,27.28,28.03,28.07,79.86,-1.708
15.320,-0.04,0.26,-0.006,0.030,25.782,-35.722,82.95,3.18,-19.02,-641.71,16.78,6.54,0.00,0.03,32.13,27.28,28.03,28.07,79.89,-1.722
15.340,-0.03,0.30,-0.006,0.021,25.784,-27.005,82.81,16.84,-20.92,-640.74,16.57,11.15,-0.03,0.03,32.13,27.30,28.01,28.05,79.86,-1.955
15.360,-0.03,0.26,-0.002,0.028,25.785,-31.018,82.74,15.01,-18.32,-640.78,16.98,9.12,-0.02,0.03,32.15,27.28,28.01,28.07,79.90,-1.831
15.380,-0.03,0.26,-0.008,0.030,25.782,-31.018,82.81,5.50,-19.02,-641.45,17.13,7.09,-0.01,0.03,32.19,27.30,28.03,28.05,79.86,-1.831
15.400,-0.04,0.22,-0.006,0.033,25.782,-41.957,82.74,21.43,-19.82,-642.28,16.69,11.97,-0.03,0.03,32.17,27.28,28.01,28.05,79.89,-1.614
15.420,-0.03,0.22,-0.006,0.021,25.786,-30.908,82.88,12.10,-16.75,-640.80,17.28,8.08,-0.02,0.03,32.17,27.28,28.03,28.04,79.88,-1.834
15.440,-0.04,0.34,-0.008,0.024,25.782,-27.537,82.81,5.90,-19.58,-642.27,16.98,8.00,-0.01,0.03,32.17,27.28,28.03,28.02,79.88,-1.936
15.460,-0.03,0.30,-0.002,0.022,25.786,-22.911,82.81,21.44,-20.28,-642.40,16.49,11.98,-0.03,0.03,32.21,27.25,27.97,28.04,79.89,-2.125
15.480,-0.04,0.22,-0.012,0.025,25.783,-41.957,82.81,6.74,-17.55,-642.66,16.78,7.15,-0.01,0.03,32.17,27.27,28.00,28.02,79.87,-1.615
15.500,-0.05,0.26,-0.011,0.025,25.783,-49.831,82.81,10.31,-19.64,-642.75,16.25,9.23,-0.02,0.03,32.17,27.25,27.97,28.02,79.90,-1.517
15.520,-0.04,0.22,-0.005,0.027,25.785,-41.957,82.81,20.58,-18.30,-642.41,16.80,11.35,-0.03,0.03,32.19,27.25,28.00,28.01,79.86,-1.615
15.540,-0.03,0.30,-0.003,0.024,25.786,-27.005,82.68,6.70,-18.20,-640.97,16.86,6.89,-0.01,0.03,32.19,27.24,27.98,28.02,79.90,-1.955
15.560,-0.05,0.26,-0.009,0.025,25.785,-49.831,82.88,15.76,-19.64,-641.73,16.50,10.67,-0.02,0.03,32.19,27.24,27.98,27.99,79.88,-1.517
15.580,-0.05,0.22,-0.009,0.025,25.785,-58.529,82.88,17.14,-17.56,-643.16,17.03,10.07,-0.03,0.03,32.19,27.21,27.97,28.01,79.88,-1.441
15.600,-0.05,0.22,-0.008,0.022,25.786,-58.529,82.74,3.92,-17.47,-642.55,16.99,6.64,-0.01,0.03,32.23,27.22,27.94,27.99,79.88,-1.441
15.620,-0.04,0.30,-0.005,0.028,25.783,-31.100,82.81,18.13,-19.71,-643.74,16.91,11.48,-0.03,0.03,32.23,27.22,27.95,27.99,79.87,-1.829
15.640,-0.03,0.22,-0.006,0.031,25.782,-36.432,82.81,13.72,-19.08,-642.35,16.84,8.79,-0.02,0.03,32.21,27.24,27.94,27.97,79.89,-1.708
15.660,-0.04,0.22,-0.006,0.027,25.783,-41.957,82.81,5.31,-19.65,-642.54,16.60,7.49,-0.01,0.03,32.21,27.24,27.95,27.98,79.86,-1.615
19.780,-0.04,0.22,-0.005,0.021,25.512,-41.957,82.88,5.41,-18.29,-1090.20,20.34,7.27,0.00,0.02,32.17,27.30,27.95,28.14,79.88,-1.608
19.800,-0.04,0.22,0.004,0.027,25.506,-41.957,82.74,18.31,-19.80,-1090.92,19.95,11.78,-0.02,0.02,32.23,27.25,27.98,28.14,79.89,-1.608
19.820,-0.04,0.26,-0.009,0.027,25.508,-40.425,82.74,13.39,-17.71,-1088.83,20.04,9.11,-0.01,0.02,32.25,27.24,27.94,28.14,79.86,-1.631
19.840,-0.05,0.22,-0.008,0.022,25.505,-58.529,82.81,7.78,-19.71,-1090.30,19.92,8.07,-0.01,0.02,32.25,27.24,27.94,28.17,79.90,-1.436
19.860,-0.05,0.22,-0.003,0.021,25.508,-58.529,82.74,22.38,-21.12,-1087.55,18.97,12.36,-0.02,0.02,32.21,27.21,27.97,28.14,79.86,-1.436
19.880,-0.04,0.22,-0.003,0.030,25.504,-47.481,82.95,8.92,-17.76,-1087.69,19.49,7.61,-0.01,0.02,32.17,27.21,27.95,28.15,79.89,-1.537
19.900,-0.03,0.22,-0.005,0.027,25.504,-36.432,82.88,10.95,-19.77,-1090.61,20.50,9.24,-0.01,0.02,32.19,27.21,27.94,28.14,79.87,-1.700
19.920,-0.04,0.22,-0.009,0.025,25.509,-41.957,82.95,21.79,-19.79,-1086.60,19.43,11.86,-0.02,0.02,32.21,27.19,27.97,28.17,79.88,-1.608
19.940,-0.04,0.22,-0.006,0.028,25.506,-41.957,82.95,6.39,-17.72,-1087.32,20.04,7.21,-0.01,0.02,32.21,27.19,28.00,28.17,79.88,-1.608
19.960,-0.03,0.26,-0.005,0.028,25.504,-31.018,82.81,13.39,-19.81,-1090.25,19.86,10.57,-0.01,0.02,32.25,27.19,27.98,28.14,79.86,-1.822
19.980,-0.03,0.22,-0.003,0.022,25.505,-36.432,82.74,18.94,-17.64,-1087.67,20.50,11.09,-0.02,0.02,32.21,27.21,28.00,28.13,79.90,-1.700
20.000,-0.05,0.22,-0.005,0.025,25.507,-58.529,82.88,4.11,-19.06,-1089.62,19.93,6.93,0.00,0.02,32.19,27.21,27.97,28.13,79.87,-1.436
20.020,-0.05,0.26,-0.011,0.025,25.503,-49.831,82.81,18.76,-20.48,-1088.89,19.40,11.49,-0.02,0.02,32.19,27.19,28.01,28.13,79.91,-1.512
20.040,-0.04,0.22,-0.006,0.021,25.510,-41.957,82.95,17.73,-17.63,-1086.38,20.17,9.82,-0.02,0.02,32.21,27.21,28.01,28.10,79.86,-1.608
20.060,-0.04,0.26,-0.003,0.030,25.508,-35.722,82.88,5.68,-19.12,-1087.92,20.06,7.38,-0.01,0.02,32.19,27.22,28.03,28.11,79.89,-1.714
20.080,-0.03,0.26,-0.005,0.027,25.504,-31.018,82.88,20.10,-20.50,-1088.03,19.48,12.08,-0.02,0.02,32.21,27.22,28.03,28.11,79.88,-1.822
20.100,-0.05,0.30,-0.003,0.025,25.505,-43.384,82.95,10.80,-17.68,-1085.84,19.88,8.45,-0.01,0.02,32.21,27.25,28.01,28.10,79.88,-1.588
20.120,-0.04,0.22,-0.003,0.031,25.505,-41.957,82.81,7.32,-19.85,-1085.87,19.49,8.36,-0.01,0.02,32.19,27.27,28.06,28.10,79.89,-1.608
20.140,-0.04,0.22,-0.006,0.022,25.507,-41.957,82.81,21.61,-18.35,-1087.05,20.12,12.27,-0.02,0.02,32.17,27.24,28.00,28.08,79.86,-1.608
20.160,-0.05,0.30,-0.006,0.024,25.507,-43.384,82.81,8.44,-17.65,-1087.05,20.43,7.64,-0.01,0.02,32.15,27.25,28.01,28.10,79.91,-1.588
24.280,-0.04,0.26,-0.006,0.025,25.226,-35.722,82.81,13.93,-19.21,-1539.48,23.46,10.05,-0.01,0.01,32.19,27.25,28.06,28.05,79.78,-1.706
24.300,-0.04,0.30,0.001,0.028,25.225,-31.100,82.81,9.78,-22.00,-1538.92,22.73,10.39,-0.01,0.01,32.15,27.25,28.08,28.07,79.78,-1.811
24.320,-0.05,0.22,-0.006,0.024,25.226,-58.529,82.81,23.27,-22.69,-1539.51,22.72,13.95,-0.02,0.01,32.15,27.27,28.06,28.10,79.80,-1.431
24.340,-0.04,0.26,-0.005,0.027,25.226,-35.722,82.74,8.31,-20.61,-1539.18,22.62,9.01,-0.01,0.01,32.17,27.28,28.05,28.08,79.76,-1.706
24.360,-0.03,0.22,0.004,0.027,25.226,-36.432,82.81,14.20,-22.00,-1541.88,22.91,11.63,-0.01,0.01,32.17,27.25,28.03,28.07,79.80,-1.692
24.380,-0.03,0.26,-0.003,0.025,25.226,-31.018,82.88,22.11,-21.32,-1541.22,22.76,12.95,-0.01,0.01,32.17,27.28,28.08,28.10,79.77,-1.813
24.400,-0.04,0.22,0.000,0.031,25.225,-47.481,82.81,6.48,-21.33,-1541.23,22.92,8.44,0.00,0.01,32.15,27.28,28.06,28.07,79.80,-1.531
24.420,-0.04,0.22,-0.006,0.027,25.224,-41.957,82.88,17.87,-23.40,-1539.09,22.15,12.76,-0.01,0.02,32.15,27.31,28.05,28.07,79.78,-1.601
24.440,-0.04,0.26,-0.002,0.025,25.228,-35.722,82.81,19.24,-19.92,-1538.83,23.07,12.16,-0.01,0.01,32.17,27.28,28.06,28.07,79.78,-1.706
24.460,-0.04,0.26,-0.005,0.027,25.224,-35.722,82.81,4.74,-20.58,-1539.42,23.42,8.40,0.00,0.01,32.13,27.30,28.09,28.08,79.80,-1.706
24.480,-0.04,0.26,-0.005,0.027,25.224,-35.722,82.74,19.48,-22.00,-1540.72,23.34,13.49,-0.01,0.01,32.11,27.31,28.06,28.08,79.77,-1.706
